group,unit,bin,count,denominator,percent
Silver-plus train,record,1–20,402,2150,18.697674418604652
Silver-plus train,record,21–40,964,2150,44.83720930232558
Silver-plus train,record,41–80,600,2150,27.906976744186046
Silver-plus train,record,81–160,152,2150,7.069767441860465
Silver-plus train,record,>160,32,2150,1.4883720930232558
Silver-plus train,span,1–2,266,3646,7.295666483817882
Silver-plus train,span,3–4,1068,3646,29.292375205704886
Silver-plus train,span,5–8,1210,3646,33.18705430608887
Silver-plus train,span,9–16,842,3646,23.093801426220516
Silver-plus train,span,>16,260,3646,7.131102578167855
Silver-plus development,record,1–20,39,169,23.076923076923077
Silver-plus development,record,21–40,69,169,40.828402366863905
Silver-plus development,record,41–80,40,169,23.668639053254438
Silver-plus development,record,81–160,16,169,9.467455621301776
Silver-plus development,record,>160,5,169,2.9585798816568047
Silver-plus development,span,1–2,28,345,8.115942028985506
Silver-plus development,span,3–4,98,345,28.405797101449277
Silver-plus development,span,5–8,116,345,33.6231884057971
Silver-plus development,span,9–16,86,345,24.92753623188406
Silver-plus development,span,>16,17,345,4.9275362318840585
Human reference,record,1–20,6,150,4.0
Human reference,record,21–40,65,150,43.333333333333336
Human reference,record,41–80,66,150,44.0
Human reference,record,81–160,8,150,5.333333333333334
Human reference,record,>160,5,150,3.3333333333333335
Human reference,span,1–2,108,663,16.289592760180994
Human reference,span,3–4,238,663,35.8974358974359
Human reference,span,5–8,243,663,36.65158371040724
Human reference,span,9–16,70,663,10.558069381598793
Human reference,span,>16,4,663,0.603318250377074
