model,n2601_exact,n2601_relaxed,n980_exact,n980_relaxed,status
JobBERT 3M v4 + jieba,0.4331,0.5873,0.4401,0.6032,complete
JobBERT 1M v4 + jieba,0.4272,0.5952,0.4333,0.6110,complete
JobBERT 1M CWS retrain + jieba,0.4049,0.5904,0.4020,0.6084,complete
domain-mix 1M 3-seed mean,0.3037,0.5278,,,complete
JobBERT 1M goldstyle v3 3-seed mean,0.3032,0.5332,,,complete
listed-mix 1M,0.2964,0.5267,,,complete
JobBERT 3M ckpt65000 3-seed mean,0.2961,0.5278,,,complete
JobBERT demo 80k,0.2931,0.5321,,,complete
RoBERTa-wwm v3 3-seed mean,0.2875,0.5206,,,complete
gpt-4o frozen old-prompt dump + jieba,0.2854,0.6249,0.2836,0.6447,complete
claude-3-5-haiku-20241022 old dump,0.1483,,,,incomplete - 98 IDs missing
kimi-k2-0711-preview old dump,0.0964,,,,incomplete - 293 IDs missing
deepseek-r1 frozen old-prompt dump + jieba,0.0802,0.1577,0.0738,0.1573,complete
Qwen2.5-14B-Instruct frozen old-prompt dump + jieba,0.0501,0.1409,0.0483,0.1361,complete
JobBERT-skill English head,0.0096,0.0676,0.0124,0.0919,complete
JobBERT-knowledge English head,0.0088,0.0644,0.0122,0.0862,complete
