split,statistic,AI,Cloud,Public,Grad,total
train,posts,707,28,12,680,1427
train,sentences,7863,318,846,7323,16350
train,tokens,289444,11178,38555,250441,589618
train,skill_spans_S_plus_T,10307,285,101,6334,17027
train,knowledge_spans_L_plus_K,4756,170,232,1806,6964
train,L,100,2,2,183,287
train,K,4656,168,230,1623,6677
train,S,7801,216,63,3639,11719
train,T,2506,69,38,2695,5308
train,sentences_with_overlap,0,0,0,0,0
dev,posts,91,4,4,95,194
dev,sentences,943,32,230,1063,2268
dev,tokens,34872,1308,9940,35632,81752
dev,skill_spans_S_plus_T,1461,21,23,901,2406
dev,knowledge_spans_L_plus_K,555,15,57,299,926
dev,L,13,1,0,44,58
dev,K,542,14,57,255,868
dev,S,1103,19,22,499,1643
dev,T,358,2,1,402,763
dev,sentences_with_overlap,0,0,0,0,0
evaluation,posts,172,8,4,195,379
evaluation,sentences,1908,123,265,1926,4222
evaluation,tokens,74113,4284,11770,65090,155257
evaluation,skill_spans_S_plus_T,2643,81,32,1629,4385
evaluation,knowledge_spans_L_plus_K,1135,65,40,457,1697
evaluation,L,17,5,1,35,58
evaluation,K,1118,60,39,422,1639
evaluation,S,1978,54,25,920,2977
evaluation,T,665,27,7,709,1408
evaluation,sentences_with_overlap,0,0,0,0,0
DAPT,sentences,409400,n/a,n/a,590600,1000000
DAPT,sentences_3.2M_mix,1310080,n/a,n/a,1889920,3200000
