system,family,domain,label,n_ids,n_missing_ids,id_coverage,n_gold_spans,n_pred_spans,exact_tp,exact_precision,exact_recall,exact_f1,relaxed_tp,relaxed_precision,relaxed_recall,relaxed_f1
JobBERT-zh 3M,Supervised encoder,AI recruitment,L,1407,0,1.0,22,20,10,0.5,0.45454545454545453,0.47619047619047616,15,0.75,0.6818181818181818,0.7142857142857143
JobBERT-zh 3M,Supervised encoder,AI recruitment,K,1407,0,1.0,951,697,358,0.5136298421807748,0.3764458464773922,0.4344660194174757,455,0.6527977044476327,0.4784437434279706,0.5521844660194174
JobBERT-zh 3M,Supervised encoder,AI recruitment,S,1407,0,1.0,1535,1446,662,0.4578146611341632,0.43127035830618893,0.4441462596444146,929,0.6424619640387276,0.6052117263843648,0.6232807782623281
JobBERT-zh 3M,Supervised encoder,AI recruitment,T,1407,0,1.0,516,440,234,0.5318181818181819,0.45348837209302323,0.48953974895397484,309,0.7022727272727273,0.5988372093023255,0.6464435146443513
JobBERT-zh 3M,Supervised encoder,Cloud,L,457,0,1.0,10,7,4,0.5714285714285714,0.4,0.47058823529411764,6,0.8571428571428571,0.6,0.7058823529411764
JobBERT-zh 3M,Supervised encoder,Cloud,K,457,0,1.0,247,190,103,0.5421052631578948,0.41700404858299595,0.471395881006865,132,0.6947368421052632,0.5344129554655871,0.6041189931350115
JobBERT-zh 3M,Supervised encoder,Cloud,S,457,0,1.0,425,411,174,0.4233576642335766,0.40941176470588236,0.41626794258373206,257,0.6253041362530414,0.6047058823529412,0.6148325358851675
JobBERT-zh 3M,Supervised encoder,Cloud,T,457,0,1.0,138,119,74,0.6218487394957983,0.5362318840579711,0.5758754863813229,87,0.7310924369747899,0.6304347826086957,0.6770428015564203
JobBERT-zh 3M,Supervised encoder,Public-sector,L,737,0,1.0,1,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
JobBERT-zh 3M,Supervised encoder,Public-sector,K,737,0,1.0,172,89,24,0.2696629213483146,0.13953488372093023,0.1839080459770115,35,0.39325842696629215,0.20348837209302326,0.2681992337164751
JobBERT-zh 3M,Supervised encoder,Public-sector,S,737,0,1.0,130,98,21,0.21428571428571427,0.16153846153846155,0.1842105263157895,31,0.3163265306122449,0.23846153846153847,0.2719298245614035
