system,domain,n_gold_spans,n_pred_spans,mean_gold_len,mean_pred_len
ChatGPT (gpt-4o),ALL,6627,6844,4.897087671646296,4.193015780245471
ChatGPT (gpt-4o),人工智能招聘,4836,5045,4.887510339123242,4.095143706640238
ChatGPT (gpt-4o),阿里云公开数据集,1311,1312,4.547673531655225,4.024390243902439
ChatGPT (gpt-4o),事业单位招聘,480,487,5.947916666666667,5.661190965092403
JobBERT 1M seed42,ALL,6627,3582,4.897087671646296,5.943048576214405
JobBERT 1M seed42,人工智能招聘,4836,2623,4.887510339123242,6.017155928326344
JobBERT 1M seed42,阿里云公开数据集,1311,776,4.547673531655225,5.702319587628866
JobBERT 1M seed42,事业单位招聘,480,183,5.947916666666667,5.901639344262295
JobBERT 1M seed123,ALL,6627,3606,4.897087671646296,6.055740432612313
JobBERT 1M seed123,人工智能招聘,4836,2667,4.887510339123242,6.125234345706787
JobBERT 1M seed123,阿里云公开数据集,1311,748,4.547673531655225,5.915775401069519
JobBERT 1M seed123,事业单位招聘,480,191,5.947916666666667,5.633507853403142
RoBERTa-wwm v3 seed42,ALL,6627,3721,4.897087671646296,5.976350443429186
RoBERTa-wwm v3 seed42,人工智能招聘,4836,2716,4.887510339123242,6.053019145802651
RoBERTa-wwm v3 seed42,阿里云公开数据集,1311,788,4.547673531655225,5.7944162436548226
RoBERTa-wwm v3 seed42,事业单位招聘,480,217,5.947916666666667,5.67741935483871
