system,n_gold,n_matched,n_missing,alignment_ok,typed_exact_p,typed_exact_r,typed_exact_f1,typed_relaxed_f1,collapsed_exact_f1
JobBERT 3M v4 (frozen),200,200,0,True,0.1586,0.1060,0.1271,0.3498,0.1390
JobBERT 1M v4 (frozen),200,200,0,True,0.1391,0.0935,0.1119,0.3729,0.1253
JobBERT 1M CWS retrain (frozen),200,200,0,True,0.1961,0.1247,0.1524,0.3689,0.1707
ChatGPT gpt-4o dump,200,200,0,True,0.2381,0.3317,0.2772,0.4013,0.3189
DeepSeek deepseek-r1 dump,200,200,0,True,0.0964,0.1060,0.1010,0.1520,0.3325
Qwen Qwen2.5-14B-Instruct dump,200,200,0,True,0.1854,0.0474,0.0755,0.1271,0.1291
Claude haiku dump,200,155,45,False,0.2267,0.2553,0.2402,0.3874,0.2888
Kimi k2 dump,200,200,0,True,0.1652,0.1908,0.1771,0.2280,0.2951
Gold v2 (agreement not a system),200,200,0,True,0.3582,0.4426,0.3960,0.5086,0.4663
V4 hybrid (agreement not a system),200,200,0,True,0.1814,0.1459,0.1617,0.4147,0.1797
