model,kind,n_filled_empty,full2601_typed_exact_p,full2601_typed_exact_r,full2601_typed_exact_f1,full2601_typed_relaxed_f1,full2601_collapsed_exact_f1,simhuman980_typed_exact_f1,simhuman980_typed_relaxed_f1,alignment_ok_2601
ChatGPT,llm,0,0.237058,0.358387,0.285361,0.624869,0.297331,0.283563,0.644694,1
Claude,llm_incomplete,98,0.114915,0.209019,0.148299,0.334857,0.174369,0.175718,0.406198,1
Kimi,llm_incomplete,293,0.086236,0.109282,0.096401,0.199747,0.193222,0.101129,0.218295,1
Kimi_filled,llm,0,0.091083,0.136483,0.109254,0.232070,0.201891,0.111648,0.251429,1
DeepSeek,llm,0,0.068193,0.097351,0.080204,0.157657,0.226263,0.073755,0.157323,1
Qwen,llm,0,0.099857,0.033405,0.050063,0.140890,0.075451,0.048252,0.136080,1
JobBERT-skill,en_head,0,0.007095,0.015032,0.009640,0.067631,0.045444,0.012442,0.091899,1
JobBERT-knowledge,en_head,0,0.006400,0.013839,0.008753,0.064438,0.044367,0.012197,0.086229,1
JobBERT_1M_v4,encoder_v4_cws_ready,0,0.468527,0.392508,0.427162,0.595170,0.464555,0.433308,0.611025,1
JobBERT_3M_v4,encoder_v4_cws_ready,0,0.473015,0.399427,0.433118,0.587322,0.471669,0.440061,0.603217,1
JobBERT_1M_v4_raw,encoder_v4_needs_cws,0,0.468527,0.392508,0.427162,0.595170,0.464555,0.433308,0.611025,1
JobBERT_3M_v4_raw,encoder_v4_needs_cws,0,0.473015,0.399427,0.433118,0.587322,0.471669,0.440061,0.603217,1
JobBERT_1M_v3_s42,encoder,0,0.329212,0.273204,0.298605,0.532273,0.321033,0.301212,0.548182,1
JobBERT_1M_v3_s123,encoder,0,0.329182,0.277499,0.301139,0.535733,0.327292,0.300847,0.547381,1
JobBERT_1M_v3_s2026,encoder,0,0.354789,0.274875,0.309761,0.531595,0.335843,0.311146,0.542420,1
JobBERT_3M_ckpt65k_s42,encoder,0,0.336288,0.271534,0.300462,0.529373,0.327129,0.304475,0.544069,1
JobBERT_3M_ckpt65k_s123,encoder,0,0.326548,0.275591,0.298913,0.530797,0.327640,0.301359,0.546429,1
JobBERT_3M_ckpt65k_s2026,encoder,0,0.311602,0.269148,0.288823,0.523108,0.314172,0.294761,0.542698,1
JobBERT_3M_final,encoder,0,0.337560,0.266762,0.298014,0.529655,0.321471,0.298737,0.546172,1
JobBERT_3M_ckpt100k,encoder,0,0.337058,0.266285,0.297521,0.529192,0.320981,0.298460,0.545993,1
JobBERT_demo80k,encoder,0,0.311409,0.276784,0.293077,0.532087,0.315311,0.295964,0.548580,1
domain_mix_1M_s42,encoder,0,0.344548,0.273682,0.305053,0.526596,0.330053,0.305517,0.538386,1
domain_mix_1M_s123,encoder,0,0.340350,0.273920,0.303543,0.528027,0.332628,0.304187,0.540993,1
domain_mix_1M_s2026,encoder,0,0.331813,0.277738,0.302377,0.528640,0.329134,0.299636,0.541339,1
listed_mix_1M,encoder,0,0.329062,0.269625,0.296393,0.526689,0.322361,0.299807,0.541586,1
human380_v3merge,encoder,0,0.331687,0.272489,0.299188,0.533665,0.321457,0.300560,0.549353,1
RoBERTa_wwm_v3_s42,encoder,0,0.312448,0.268910,0.289048,0.518338,0.315466,0.288825,0.529513,1
RoBERTa_wwm_v3_s123,encoder,0,0.305312,0.266046,0.284330,0.516639,0.312635,0.282027,0.531031,1
RoBERTa_wwm_v3_s2026,encoder,0,0.326433,0.259604,0.289208,0.526847,0.313663,0.290709,0.542133,1
JobBERT_1M_cws_retrain,encoder,0,0.453657,0.365545,0.404863,0.590381,0.439482,0.402040,0.608355,1
