split,metric,AI,Cloud,Public,Grad,Total
Train (draft),# Posts,707,28,12,680,1427
Train (draft),# Sentences,7863,318,846,7323,16350
Train (draft),# Tokens,289444,11178,38555,250441,589618
Train (draft),# Skill spans (S+T),10307,285,101,6334,17027
Train (draft),# Knowledge spans (L+K),4756,170,232,1806,6964
Train (draft),# L,100,2,2,183,287
Train (draft),# K,4656,168,230,1623,6677
Train (draft),# S,7801,216,63,3639,11719
Train (draft),# T,2506,69,38,2695,5308
Train (draft),# Sentences with overlap,0,0,0,0,0
Dev (draft),# Posts,91,4,4,95,194
Dev (draft),# Sentences,943,32,230,1063,2268
Dev (draft),# Tokens,34872,1308,9940,35632,81752
Dev (draft),# Skill spans (S+T),1461,21,23,901,2406
Dev (draft),# Knowledge spans (L+K),555,15,57,299,926
Dev (draft),# L,13,1,0,44,58
Dev (draft),# K,542,14,57,255,868
Dev (draft),# S,1103,19,22,499,1643
Dev (draft),# T,358,2,1,402,763
Dev (draft),# Sentences with overlap,0,0,0,0,0
Evaluation (pre-release),# Posts,172,8,4,195,379
Evaluation (pre-release),# Sentences,1908,123,265,1926,4222
Evaluation (pre-release),# Tokens,74113,4284,11770,65090,155257
Evaluation (pre-release),# Skill spans (S+T),2643,81,32,1629,4385
Evaluation (pre-release),# Knowledge spans (L+K),1135,65,40,457,1697
Evaluation (pre-release),# L,17,5,1,35,58
Evaluation (pre-release),# K,1118,60,39,422,1639
Evaluation (pre-release),# S,1978,54,25,920,2977
Evaluation (pre-release),# T,665,27,7,709,1408
Evaluation (pre-release),# Sentences with overlap,0,0,0,0,0
Unlabeled DAPT,# Sentences,409400,,,590600,1000000
Unlabeled DAPT,# Sentences (3.2M mix),1310080,,,1889920,3200000
