split,kind,domain,rank,text,n
dev_v4,skill,AI,1,沟通能力,13
dev_v4,skill,AI,2,学习能力,11
dev_v4,skill,AI,3,沟通,11
dev_v4,skill,AI,4,责任心,9
dev_v4,skill,AI,5,团队合作精,8
dev_v4,knowledge,AI,1,计算机,18
dev_v4,knowledge,AI,2,大数据,8
dev_v4,knowledge,AI,3,计算机相关,6
dev_v4,knowledge,AI,4,数学,5
dev_v4,knowledge,AI,5,技术,4
test_v4,skill,AI,1,沟通能力,10
test_v4,skill,AI,2,分析,7
test_v4,skill,AI,3,逻辑思维能力,7
test_v4,skill,AI,4,团队合作精神,7
test_v4,skill,AI,5,学习能力,7
test_v4,skill,Cloud,1,沟通能力,7
test_v4,skill,Cloud,2,设计,4
test_v4,skill,Cloud,3,团队合作精神,4
test_v4,skill,Cloud,4,沟通,4
test_v4,skill,Cloud,5,责任心强,3
test_v4,skill,Public,1,中华人民共和国,4
test_v4,skill,Public,2,国家承认,3
test_v4,skill,Public,3,反馈有关,3
test_v4,skill,Public,4,执行,2
test_v4,skill,Public,5,心理素质,2
test_v4,knowledge,AI,1,机器学习,10
test_v4,knowledge,AI,2,计算机,10
test_v4,knowledge,AI,3,云计算,5
test_v4,knowledge,AI,4,计算机相关专业,4
test_v4,knowledge,AI,5,数学,4
test_v4,knowledge,Cloud,1,计算机,5
test_v4,knowledge,Cloud,2,网络,5
test_v4,knowledge,Cloud,3,计算机相关专业,5
test_v4,knowledge,Cloud,4,信息管理,2
test_v4,knowledge,Cloud,5,计算机相关,2
test_v4,knowledge,Public,1,事业单位人事管理,4
test_v4,knowledge,Public,2,事业单位人事,4
test_v4,knowledge,Public,3,事业单位公开招聘,3
test_v4,knowledge,Public,4,普通高等教育,3
test_v4,knowledge,Public,5,水产及生物类相关,3
gold_v2,skill,AI,1,开发,49
gold_v2,skill,AI,2,设计,36
gold_v2,skill,AI,3,分析,28
gold_v2,skill,AI,4,沟通,26
gold_v2,skill,AI,5,优化,26
gold_v2,skill,Cloud,1,维护,17
gold_v2,skill,Cloud,2,沟通能力,10
gold_v2,skill,Cloud,3,沟通,10
gold_v2,skill,Cloud,4,优化,8
gold_v2,skill,Cloud,5,运维,8
gold_v2,skill,Public,1,面试,4
gold_v2,skill,Public,2,体检,3
gold_v2,skill,Public,3,考试,3
gold_v2,skill,Public,4,加试,3
gold_v2,skill,Public,5,科研能力,2
gold_v2,knowledge,AI,1,计算机,22
gold_v2,knowledge,AI,2,云计算,15
gold_v2,knowledge,AI,3,大数据,15
gold_v2,knowledge,AI,4,机器学习,14
gold_v2,knowledge,AI,5,算法,13
gold_v2,knowledge,Cloud,1,计算机,11
gold_v2,knowledge,Cloud,2,网络,7
gold_v2,knowledge,Cloud,3,服务器,5
gold_v2,knowledge,Cloud,4,计算机相关专业,4
gold_v2,knowledge,Cloud,5,ERP,3
gold_v2,knowledge,Public,1,综合成绩,6
gold_v2,knowledge,Public,2,体检标准,3
gold_v2,knowledge,Public,3,笔试,3
gold_v2,knowledge,Public,4,公共基础知识,3
gold_v2,knowledge,Public,5,成绩,3
