system,seed,precision,recall,f1,pred_path,scorer
JobBERT 1M goldstyle v3,42,0.17448352875488554,0.0943111513505357,0.12244098344597903,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/jobbert_zh_1m/crf_v3_seed42/test_pred.jsonl,cnss-lskt-1.2.0
JobBERT 1M goldstyle v3,123,0.18330560177481975,0.09974347366832655,0.12918987589172287,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/encoder_3seed/jobbert_zh_1m/seed_123/test_pred.jsonl,cnss-lskt-1.2.0
JobBERT 1M goldstyle v3,2026,0.20138055222088835,0.10125245208993511,0.13475248518927604,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/encoder_3seed/jobbert_zh_1m/seed_2026/test_pred.jsonl,cnss-lskt-1.2.0
domain-mix 1M,42,0.181791483113069,0.09340576429757054,0.12340510366826155,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/jobbert_zh_domain_1m/crf_v3_seed42/test_pred.jsonl,cnss-lskt-1.2.0
domain-mix 1M,123,0.18742724097788127,0.09717821035159198,0.1279936400675743,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/jobbert_zh_domain_1m/crf_v3_seed123/test_pred.jsonl,cnss-lskt-1.2.0
domain-mix 1M,2026,0.18314917127071823,0.10004526935264826,0.12940372792036692,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/jobbert_zh_domain_1m/crf_v3_seed2026/test_pred.jsonl,cnss-lskt-1.2.0
JobBERT 3M ckpt65000,42,0.17902298850574713,0.09400935566621398,0.12328089442960326,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/jobbert_zh_3m/crf_ckpt65000_ep1/test_pred.jsonl,cnss-lskt-1.2.0
JobBERT 3M ckpt65000,123,0.18370739817123857,0.10004526935264826,0.1295427901524033,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/encoder_3seed/jobbert_zh_3m_ckpt65000/seed_123/test_pred.jsonl,cnss-lskt-1.2.0
JobBERT 3M ckpt65000,2026,0.17272727272727273,0.09748000603591368,0.1246262178065014,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/encoder_3seed/jobbert_zh_3m_ckpt65000/seed_2026/test_pred.jsonl,cnss-lskt-1.2.0
RoBERTa-wwm v3,42,0.16070948669712443,0.09023690961219255,0.11557788944723618,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/cn_roberta_wwm_crf/smoke_goldstyle_v3_seed42/test_pred.jsonl,cnss-lskt-1.2.0
RoBERTa-wwm v3,123,0.16383430695698353,0.09310396861324884,0.11873376310978544,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/encoder_3seed/cn_roberta_wwm_v3/seed_123/test_pred.jsonl,cnss-lskt-1.2.0
RoBERTa-wwm v3,2026,0.18399532710280375,0.09506564056133997,0.125360660630783,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/encoder_3seed/cn_roberta_wwm_v3/seed_2026/test_pred.jsonl,cnss-lskt-1.2.0
