run,status,test_typed_f1,test_collapsed_f1,dev_typed_f1,precision,recall,snapshot
jobbert_zh_1m/seed2026,complete,0.13475248518927604,0.1472035344914148,0.3149835946044477,0.20138055222088835,0.10125245208993511,results_snapshots/jobbert_zh_1m__seed2026.json
encoder_3seed/jobbert_zh_3m_ckpt65000/seed_123,complete,0.1295427901524033,0.14361078546307152,0.32564162938544855,0.18370739817123857,0.10004526935264826,results_snapshots/encoder_3seed__jobbert_zh_3m_ckpt65000__seed_123.json
jobbert_zh_3m_ckpt65000/seed123,complete,0.1295427901524033,0.14361078546307152,0.32564162938544855,0.18370739817123857,0.10004526935264826,results_snapshots/jobbert_zh_3m_ckpt65000__seed123.json
encoder_3seed/jobbert_zh_1m/seed_123,complete,0.12918987589172287,0.14580279487931203,0.326361810232778,0.18330560177481975,0.09974347366832655,results_snapshots/encoder_3seed__jobbert_zh_1m__seed_123.json
jobbert_zh_1m/seed123,complete,0.12918987589172287,0.14580279487931203,0.326361810232778,0.18330560177481975,0.09974347366832655,results_snapshots/jobbert_zh_1m__seed123.json
jobbert_zh_3m/crf_ckpt65000_ep1,complete,0.12328089442960326,0.13535173642030277,0.32050821047584804,0.17902298850574713,0.09400935566621398,results_snapshots/jobbert_zh_3m__crf_ckpt65000_ep1.json
jobbert_zh_3m_ckpt_sweep/crf_ckpt65000,complete,0.12328089442960326,0.13535173642030277,0.32050821047584804,0.17902298850574713,0.09400935566621398,results_snapshots/jobbert_zh_3m_ckpt_sweep__crf_ckpt65000.json
jobbert_zh_1m/crf_v3_seed42,complete,0.12244098344597903,0.13517484572436084,0.3184878913171884,0.17448352875488554,0.0943111513505357,results_snapshots/jobbert_zh_1m__crf_v3_seed42.json
jobbert_1m_human380_v3merge_seed42,complete,0.1207287050713934,0.1329394387001477,0.3163144146283543,0.17375283446712017,0.0925003772446054,results_snapshots/jobbert_1m_human380_v3merge_seed42.json
jobbert_zh_listed_1m/crf_v3_seed42,complete,0.12010238235873201,0.13408151210868283,0.3256590719312895,0.17275559331634097,0.09204768371812283,results_snapshots/jobbert_zh_listed_1m__crf_v3_seed42.json
jobbert_zh_3m/crf_v3_seed42,complete,0.11703718472734523,0.12939886352307844,0.3208569021542906,0.17244418331374853,0.08857703334842312,results_snapshots/jobbert_zh_3m__crf_v3_seed42.json
jobbert_zh_3m_ckpt_sweep/crf_ckpt100000,complete,0.11665004985044865,0.12901296111665006,0.3206933911159264,0.17190714075815458,0.0882752376641014,results_snapshots/jobbert_zh_3m_ckpt_sweep__crf_ckpt100000.json
cn_roberta_wwm_crf/smoke_goldstyle_v3_seed42,complete,0.11557788944723618,0.12910707383069192,0.3210310486233158,0.16070948669712443,0.09023690961219255,results_snapshots/cn_roberta_wwm_crf__smoke_goldstyle_v3_seed42.json
jobbert_zh_demo/crf_v3_seed42,complete,0.1151972490209189,0.12895214442640177,0.32313906520484703,0.15694950546590317,0.09099139882299682,results_snapshots/jobbert_zh_demo__crf_v3_seed42.json
cn_roberta_wwm_crf/smoke_goldstyle_v2_seed42,complete,0.023807292154841127,0.027369013028400033,0.559161826671222,0.0314200890648194,0.019164025954428853,results_snapshots/cn_roberta_wwm_crf__smoke_goldstyle_v2_seed42.json
cn_roberta_wwm_crf/smoke_seed42_gpu1,complete,0.012034070485269987,0.01437836993045245,0.5714285714285714,0.012479740680713128,0.011619133846385996,results_snapshots/cn_roberta_wwm_crf__smoke_seed42_gpu1.json
cn_roberta_wwm_crf/smoke_goldstyle_seed42,complete,0.0,0.0,0.656926406926407,0.0,0.0,results_snapshots/cn_roberta_wwm_crf__smoke_goldstyle_seed42.json
jobbert_zh_listed_1m/comparison_vs_1224,complete,,,,,,results_snapshots/jobbert_zh_listed_1m__comparison_vs_1224.json
jobbert_zh_listed_1m/decision_3m,complete,,,,,,results_snapshots/jobbert_zh_listed_1m__decision_3m.json
