id,source_domain,sentence,silver_spans_do_not_copy,reviewer_spans_json,decision,note
1004-s0009,人工智能招聘, 4、掌握图像滤波、轮廓提取、边缘检测、形态学处理、图像分割等各类图像处理理论；,K:图像滤波、 | K:轮廓提取、 | K:边缘检测、 | K:形态学处理、 | K:图像分割等 | K:图像处理理论；,,,
1014-s0083,人工智能招聘,比如很多新产品开发与推广，直销产品等，前期根���就赚不了钱。,S:开发与 | S:推广，,,,
1019-s0004,人工智能招聘, 岗位要求： 1. 本科及以上学历，计算机或相关专业，JAVA基础扎实，熟悉io、多线程、集合等基础框架，熟悉分布式、缓存、消息等机制；,K:本科及以上学历， | K:计算机或 | S:JAVA基础扎 | K:io、 | K:多线程、 | K:集合等基础框架， | K:分布式、 | K:缓存、 | K:消息等机制；,,,
1042-s0005,人工智能招聘, 2、2年以上市场营销经验，能够熟练编写投标书等商务文案，热爱文案编写工作，有虚拟仿真、虚拟现实、游戏动画、新媒体等相关领域工作经验者优先。,K:营销经验， | S:编写投 | T:热爱文 | K:虚拟仿真、 | K:虚拟现实、 | K:游戏动画、 | K:新媒体等 | K:工作经验者,,,
1060-s0013,人工智能招聘,7、具有较强的架构能力，具有分布式计算、实时计算、数据仓库、数据挖掘系统的架构经历优先；,S:架构能力， | K:分布式计算、 | K:实时计算、 | K:数据仓库、 | K:数据挖掘系统的 | S:架构经历优,,,
1102-s0000,人工智能招聘,1.从项目启动到最终发布，为开发团队提供架构设计指导2.与业务用于和跨职能团队合作，了解敏捷环境中的要求和协作解决方案3.为团队成员提供技术指导，包括技术设计咨询，代码审查和质量保证4.确保代码可维护，可扩展，易于使用，并在设备和浏览器之间实现最佳性能5.负责项目生命周期中的高水平技术设计;,S:架构设计指 | T:合作， | T:了解敏 | T:协作解 | S:技术指导， | S:技术设计咨 | K:代码审 | S:质量保证4 | S:可维护， | S:可扩展， | S:易于使用， | K:设备和 | K:浏览器之 | S:最佳性能5 | S:高水平技术设计;,,,
1153-s0013,人工智能招聘,5.对外提供产品文档及必要的培训。,,,,
1153-s0022,人工智能招聘,【任职要求】1.数学、统计或计算机或相关专业，本科以上学历。,K:计算机或,,,
1153-s0025,人工智能招聘,3.熟悉Spring、SpringMVC、MyBatis、Dubbo等框架或者ASP.NET MVC、Surging微服务等框架；,K:Spring、 | K:SpringMVC、 | K:MyBatis、 | K:Dubbo等 | K:Surging微服务等,,,
1192-s0005,人工智能招聘,公司位于南京河西新城，依托于虚拟地理环境教育部重点实验室，属于新城科技园深孵企业。,,,,
1251-s0005,人工智能招聘,", , 6、拟制产品电子设计方案。",S:拟制产,,,
1266-s0003,人工智能招聘, 4、管理及优化相关的、精准的关键词列表，并进行合乎逻辑的分组；,S:管理及 | S:优化相 | S:进行合,,,
1292-s0002,人工智能招聘, 2、对信用评级，征信理论和体系、风险控制、贷前授信、贷中监控、贷后催缴等有独立认识。,K:信用评级， | K:征信理论和体系、 | K:风险控制、 | K:贷前授信、 | K:贷中监控、 | K:贷后催缴等,,,
1293-s0000,人工智能招聘,[工作职责： 1. 对接台湾研发团队，负责汽车辅助驾驶类AI产品的需求收集、开发管理工作；,S:需求收集、 | S:开发管理工,,,
1305-s0008,人工智能招聘,掌握NodeJS/Python/Ruby等动态语言者优先;,S:NodeJS/ | S:Python/ | S:Ruby等,,,
1328-s0014,人工智能招聘,公司成长迅速，晋升空间大。,,,,
1336-s0028,人工智能招聘,（我们更加看重你的能力！,,,,
1338-s0012,人工智能招聘, 四、其他福利 股票期权（员工持股计划） 晋升空间（不定期选拔优秀人才） （1）纵向发展：普通员工--优秀员工--MO --主管→经理→总监 （2）横向发展：客户经理、产品培训师、运营/商务/产品等方向。,T:纵向发展： | T:横向发展： | T:客户经理、 | T:产品培训师、,,,
1354-s0004,人工智能招聘, 4.有效的和业务方，产品经理沟通策略方案，根据各方反馈迭代策略设计；,T:沟通策 | S:迭代策,,,
1355-s0000,人工智能招聘,岗位职责：1、负责产品的运营规划、运营数据分析；,S:产品的运营规划、 | S:运营数据分析；,,,
1358-s0004,人工智能招聘,特征提取，算法验证4.&nbsp;,K:算法验,,,
1360-s0004,人工智能招聘,5.撰写、跟进和落实公司会议、专题研讨会议等公司会议纪要；,S:公司会议纪要；,,,
1382-s0002,人工智能招聘,3、拓展专项申报客户、挖掘潜在客户；,S:拓展专 | S:挖掘潜,,,
1457-s0011,人工智能招聘, 3.根据反馈的问题持续进行算法优化。,S:算法优化。,,,
1457-s0012,人工智能招聘," 地点：洪山区野芷湖西路创意天地5号办公楼 4层 工作时间：周一至周五 朝九晚六, 高薪诚聘",,,,
1486-s0005,人工智能招聘, 6. 为公司业务活动提供研究领域内的专业支持，协助各业务部门完成数据整理、分析与利用；,K:研究领域内 | S:数据整理、 | S:分析与 | S:利用；,,,
1489-s0000,人工智能招聘,岗位职责: 1、负责事业部内云计算实施项目的管理工作，包括项目计划的编排、进度推进、上线验收和交付运维；,S:云计算实施项目的管理工 | S:项目计划的编排、 | S:进度推进、 | S:上线验收和 | S:交付运维；,,,
1494-s0003,人工智能招聘,3）负责移动端产品后台，接口的开发和维护4）根据功能需求和设计方案进行开发，完成代码的编写和调试工作；,S:开发和 | S:完成代码的编写和 | S:调试工,,,
1498-s0000,人工智能招聘,职责：1、负责数据仓库ETL脚本的开发，以及数据监控的相关脚本开发；,S:数据仓库ETL脚本的开发， | S:数据监控的相关脚本开发；,,,
1513-s0171,人工智能招聘,lt;,,,,
1513-s0204,人工智能招聘,"编程, &amp;",,,,
1518-s0002,人工智能招聘, 工作地点：北京、天津、珠海 基本要求： 1. 有扎实的编程功底，熟练使用C/C++和ASM编程，有良好规范的编程习惯，具备软件调试、优化经验。,,,,
1519-s0003,人工智能招聘,团队成员也多数来自BAT、小米、华为、乐视等国内顶尖公司，技术实力雄厚。,,,,
1521-s0009,人工智能招聘, 4. 熟练使用C++或C#编程语言，熟悉面向对象编程思想，具有良好的编程基础；,S:使用C++或 | S:C#编程语言， | K:面向对象编程思想， | K:编程基础；,,,
1526-s0003,人工智能招聘, 2、能独立完成产品电子电路、软件设计；,S:产品电子电路、 | S:软件设计；,,,
1556-s0007,人工智能招聘,4.具备良好的沟通能力、团队协作能力，有用户增长/用户运营相关的算法经验优先。,T:沟通能力、 | T:团队协作能力， | K:算法经,,,
1558-s0002,人工智能招聘, 3、大数据新技术研究和应用，并推动适合技术应用于生产；,K:大数据新技术研 | S:应用， | S:推动适 | S:技术应用于,,,
1581-s0012,人工智能招聘,", 3.完善的福利体系：公司为员工购买五险一金，保障基本福利，并提供员工餐、节日及生日福利等；",,,,
1589-s0012,人工智能招聘, 在创始初期，观数科技即获得多家著名VC的重量级投资。,,,,
983-s0016,人工智能招聘,9.深入理解并熟练掌握MVC框架模式；,,,,
130-s0003,应届生招聘, 4. 社群营销，运用有效手段提升用户的活跃度和关注度，并收集反馈分析用户需求。,S:运用有效手段提 | K:活跃度和 | K:关注度， | S:收集反馈分,,,
162-s0008,应届生招聘,6、完成领导及时交付的工作及其它事项，并配合其它部门达到公司的目标任务。,T:配合其,,,
176-s0000,应届生招聘,岗位职责：1、负责分店日常顾客接待、商品销售等工作；,T:顾客接待、 | S:商品销售等,,,
181-s0012,应届生招聘,5、其他专业要求会python或通过证券、基金从业资格考试两科及以上，且持有C1驾照；,S:python或 | K:基金从业资格考试两 | K:C1驾照；,,,
212-s0008,应届生招聘,3、形象好，气质佳，具备良好的服务意识。,,,,
217-s0014,应届生招聘, 5、过节费（春节、端午、中秋等）、生日礼券、春节利是、等多项福利；,,,,
267-s0007,应届生招聘,5、自学能力强，身体健康、性格开朗，具有团队合作意识、团队精神；,T:自学能力强 | T:团队合作意识、 | T:团队精神；,,,
288-s0000,应届生招聘,岗位职责：1、重点工作：洗车;,,,,
290-s0005,应届生招聘, - 负责协助销售团队处理销售事务，确保销售合同的履行和销售目标的实现。,S:协助销售团队处理销售事务， | S:确保销售合同的履行和 | S:销售目标的实现。,,,
305-s0000,应届生招聘,工作职责岗位职责：1.完成行程线路的设计、行程编写、报价的计算工作；,S:行程线路的设计、 | S:行程编写、 | S:报价的计算工,,,
34-s0000,应届生招聘,欢迎应届毕业生！,,,,
382-s0011,应届生招聘,2、传统法定节假日，按照国家规定带薪假期;,,,,
383-s0013,应届生招聘,4、培训：定期开展入职培训、在职培训及员工外部培训拓展活动;,S:开展入职培训、 | S:在职培训及 | S:员工外部培训拓展活动;,,,
393-s0019,应届生招聘,迈出坚实的一步，就会实现不平凡人生的开始。,,,,
397-s0010,应届生招聘,薪资待遇：1、底薪1600元—2000元，提成20%—30%，平均月薪3000元—10000元；,,,,
413-s0000,应届生招聘,接受优秀应届生岗位职责：1、负责公司国内阿里巴巴诚信通平台的操作管理；,S:操作管理；,,,
42-s0010,应届生招聘,5、能够在压力下自我管理与驱动，具备很强的团队精神；,T:自我管理与 | T:驱动， | T:团队精神；,,,
425-s0003,应届生招聘,3.独立完成订单，收集潜在客户资料，能协助团队完成销售任务；,S:独立完成订单， | S:收集潜在客户资料， | S:协助团队完成销售任务；,,,
460-s0008,应届生招聘,熟悉Web2.0；,K:Web2.0；,,,
469-s0001,应届生招聘, 2、商务洽谈及合同签订，跟进合同执行，回收货款；,S:商务洽谈及 | S:合同签订， | S:跟进合同执行， | S:回收货款；,,,
490-s0006,应届生招聘,加班费规格按《劳动法》规定进行实行（注：部分站区由于客流量不同例外）大白班（上午7:00——下午5：00，每上2小时之间均休息0.5小时）小白班（上午9:30——下午5：00，每上2小时之间均休息0.5小时）小夜班（下午5:00——晚上9：30，每上2小时之间均休息0.5小时）【工作班次：轮休倒班制，每班平均8小时左右（不加班不会超过8小时】四、薪资待遇：实习期1-2个月（工作表现好可提前转正）试用：底薪【2500】+加班费+奖金+早晚高峰补助——月综合收入：【3500~4500】不等。,K:劳动法》,,,
553-s0035,应届生招聘,我们的福利是不断完善更新哒，接下来将计划上线丰富的体育俱乐部、豪华年度旅游…….敬请期待！,,,,
571-s0003,应届生招聘,不要看底薪，要凭自己的实力拿高提成；,T:实力拿,,,
578-s0007,应届生招聘,2、大学本科以上学历，英语较好，有国外留学经验者优先，优秀应届毕业生可接受；,L:英语较,,,
602-s0013,应届生招聘, 岗位要求： 1、普通高校全日制本科及以上学历市场营销、工商管理、计算机等相关专业优先；,K:市场营销、 | K:工商管理、 | K:计算机等,,,
606-s0000,应届生招聘,在线留下姓名+专业+学历+年龄+联系电话——————即可获得本公司人事部电话面试邀约！,,,,
67-s0018,应届生招聘,工作时间：8：30-12：00;,,,,
741-s0001,应届生招聘,四平集团通过完善的培训体系和晋升机制，为每一位走进四平的优秀毕业生提供了一个良好的职业发展平台及创业机会。,T:职业发展平 | T:创业机,,,
747-s0012,应届生招聘, &nbsp;,,,,
749-s0000,应届生招聘,岗位描述 1.负责公司平台本地医生的开发工作，快速找到意向客户，再通过电话或者微信面访约见客户，为客户解决疑难问题，达成合作意愿。,S:公司平台本地医生的开发工 | S:找到意向客户， | S:电话或 | S:微信面访约 | S:为客户解决疑难问题， | S:达成合作意愿。,,,
822-s0004,应届生招聘, 5、与公司各部门保持良好的沟通，保证工作的顺利进行；,T:沟通， | T:顺利进行；,,,
822-s0009,应届生招聘, 2、熟悉办公室行政管理知识及工作流程，熟练运用OFFICE等办公软件；,K:办公室行政管理知识及 | K:工作流程， | S:运用OFFICE等办公软件；,,,
827-s0007,应届生招聘, 3、公司每月一次员工专属生日趴，水果蛋糕和节日礼物；,,,,
829-s0000,应届生招聘,"岗位职责1负责客户的接待、咨询工作,为顾客提供优秀的置业咨询服务2了解客户需求,提供合适房源,进行商务谈判3陪同客户看房,促成房屋买卖业务成交4与客户建立良好的联系，熟悉及挖掘客户需求5负责公司房源开发与积累,并与业主建立良好的业务协作关系任职资格1懂计算机操作，普通话标准，热爱销售和房地产行业，具有良好的团队合作精神，勇于挑战高薪，有无经验均可，公司提供全方位的专业培训。","S:咨询工作, | S:置业咨询服务2 | T:了解客户需求, | S:商务谈判3 | T:良好的联系， | T:熟悉及挖掘客户需求5 | S:房源开发与积累, | T:良好的业务协作关系任 | S:计算机操作， | L:普通话标准， | K:销售和 | K:房地产行业， | T:良好的团队合作精神， | S:全方位的专业培训。",,,
877-s0006,应届生招聘,（5%） -对客户整体满意度，工具和流程提供一直的反馈。,K:工具和 | S:提供一直的反馈。,,,
90-s0012,应届生招聘,5、性格开朗，为人正直，工作积极主动，对外协调、沟通能力强，能承受一定工作压力；,T:工作积极主动， | T:协调、 | T:沟通能 | T:能承受一定工作压力；,,,
905-s0002,应届生招聘," 3、责任心强，爱岗敬业，有团队精神 4、18-30岁，超龄勿扰 福利待遇： 1.转正薪资4000以上+绩效+餐费补贴+双休年底分红 2、五险一金 3、入职后签订劳动就业合同，五险一金+双休法定假日,有良好的 晋升空间 4、全体员工除享受以上福利待遇外还将享受带薪年假、病假、婚假、丧假、产假等国 家法定节假日。",T:爱岗敬业， | T:团队精神  | T:晋升空间 ,,,
934-s0007,应届生招聘,3、普通话流利、口齿清晰、性格外向、反应敏捷、表达能力强，具有较强的沟通能力及交际,L:普通话流利、 | T:表达能力强 | T:沟通能力及 | T:交际,,,
956-s0005,应届生招聘, 6、下发会议通知，布置会议室；,S:下发会议通知， | S:布置会议室；,,,
96-s0001,应届生招聘,2、采购类工作为采购资质文书工作，要求基础电脑办公，细心耐心；,S:基础电脑办公， | T:细心耐,,,
