id,role,status,source_domain,empty_hint,sentence,spans_json,comment
1004-s0009,lock80,locked,人工智能招聘,, 4、掌握图像滤波、轮廓提取、边缘检测、形态学处理、图像分割等各类图像处理理论；,"[{""text"": ""掌握图像滤波、轮廓提取、边缘检测、形态学处理、图像分割等各类图像处理理论"", ""type"": ""K""}]",图像处理理论属于领域知识
1014-s0083,lock80,locked,人工智能招聘,,比如很多新产品开发与推广，直销产品等，前期根���就赚不了钱。,[],业务情况描述，无候选人能力要求
1019-s0004,lock80,locked,人工智能招聘,, 岗位要求： 1. 本科及以上学历，计算机或相关专业，JAVA基础扎实，熟悉io、多线程、集合等基础框架，熟悉分布式、缓存、消息等机制；,"[{""text"": ""本科及以上学历"", ""type"": ""K""}, {""text"": ""计算机或相关专业"", ""type"": ""K""}, {""text"": ""JAVA基础扎实"", ""type"": ""K""}, {""text"": ""熟悉io、多线程、集合等基础框架"", ""type"": ""S""}, {""text"": ""熟悉分布式、缓存、消息等机制"", ""type"": ""S""}]",学历专业属于K，框架机制熟悉属于实操技能S
1042-s0005,lock80,locked,人工智能招聘,, 2、2年以上市场营销经验，能够熟练编写投标书等商务文案，热爱文案编写工作，有虚拟仿真、虚拟现实、游戏动画、新媒体等相关领域工作经验者优先。,"[{""text"": ""市场营销经验"", ""type"": ""S""}, {""text"": ""能够熟练编写投标书等商务文案"", ""type"": ""S""}, {""text"": ""热爱文案编写工作"", ""type"": ""T""}, {""text"": ""有虚拟仿真、虚拟现实、游戏动画、新媒体等相关领域工作经验"", ""type"": ""S""}]",年限套话去掉，只留市场营销经验
1060-s0013,lock80,locked,人工智能招聘,,7、具有较强的架构能力，具有分布式计算、实时计算、数据仓库、数据挖掘系统的架构经历优先；,"[{""text"": ""具有较强的架构能力"", ""type"": ""S""}, {""text"": ""具有分布式计算、实时计算、数据仓库、数据挖掘系统的架构经历"", ""type"": ""S""}]",架构能力、架构经历属于可执行技能工作经验S
1102-s0000,lock80,locked,人工智能招聘,,1.从项目启动到最终发布，为开发团队提供架构设计指导2.与业务用于和跨职能团队合作，了解敏捷环境中的要求和协作解决方案3.为团队成员提供技术指导，包括技术设计咨询，代码审查和质量保证4.确保代码可维护，可扩展，易于使用，并在设备和浏览器之间实现最佳性能5.负责项目生命周期中的高水平技术设计;,"[{""text"": ""为开发团队提供架构设计指导"", ""type"": ""S""}, {""text"": ""与业务用于和跨职能团队合作，了解敏捷环境中的要求和协作解决方案"", ""type"": ""S""}, {""text"": ""为团队成员提供技术指导，包括技术设计咨询，代码审查和质量保证"", ""type"": ""S""}, {""text"": ""确保代码可维护，可扩展，易于使用，并在设备和浏览器之间实现最佳性能"", ""type"": ""S""}, {""text"": ""负责项目生命周期中的高水平技术设计"", ""type"": ""S""}]",均为岗位需要执行的技术工作技能S
1153-s0013,lock80,locked,人工智能招聘,,5.对外提供产品文档及必要的培训。,"[{""text"": ""对外提供产品文档及必要的培训"", ""type"": ""S""}]",输出文档、开展培训属于执行技能S
1153-s0022,lock80,locked,人工智能招聘,,【任职要求】1.数学、统计或计算机或相关专业，本科以上学历。,"[{""text"": ""数学、统计或计算机或相关专业"", ""type"": ""K""}, {""text"": ""本科以上学历"", ""type"": ""K""}]",专业、学历属于知识学历K
1153-s0025,lock80,locked,人工智能招聘,,3.熟悉Spring、SpringMVC、MyBatis、Dubbo等框架或者ASP.NET MVC、Surging微服务等框架；,"[{""text"": ""熟悉Spring、SpringMVC、MyBatis、Dubbo等框架或者ASP.NET MVC、Surging微服务等框架"", ""type"": ""S""}]",熟悉技术框架属于实操技能S
1192-s0005,lock80,locked,人工智能招聘,,公司位于南京河西新城，依托于虚拟地理环境教育部重点实验室，属于新城科技园深孵企业。,[],企业背景介绍，无候选人能力要求
