id,stage,reason
1937-s0003,parse,"JSONDecodeError: Expecting ',' delimiter: line 4 column 64 (char 227)"
1939-s0001,parse,"JSONDecodeError: Expecting ',' delimiter: line 6 column 1 (char 309)"
1941-s0001,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 282 (char 283)"
1941-s0003,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 138 (char 139)"
1942-s0007,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 163 (char 164)"
1944-s0000,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 129 (char 130)"
1947-s0004,parse,"JSONDecodeError: Expecting ',' delimiter: line 4 column 62 (char 222)"
1948-s0003,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 132 (char 133)"
1948-s0004,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 193 (char 194)"
1948-s0007,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 129 (char 130)"
1948-s0012,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 129 (char 130)"
1949-s0004,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 64 (char 65)"
1951-s0008,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 321 (char 322)"
1952-s0001,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 217 (char 218)"
1952-s0006,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 191 (char 192)"
1953-s0002,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 135 (char 136)"
1954-s0001,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 64 (char 65)"
1954-s0002,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 124 (char 125)"
1955-s0003,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 154 (char 155)"
1955-s0006,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 129 (char 130)"
1956-s0003,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 126 (char 127)"
1956-s0004,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 139 (char 140)"
1956-s0010,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 124 (char 125)"
1957-s0001,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 166 (char 167)"
1957-s0004,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 193 (char 194)"
1959-s0007,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 192 (char 193)"
1959-s0009,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 136 (char 137)"
1960-s0004,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 68 (char 69)"
1960-s0009,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 125 (char 126)"
1961-s0002,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 65 (char 66)"
1962-s0004,parse,JSONDecodeError: Expecting value: line 2 column 177 (char 178)
1963-s0001,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 101 (char 102)"
1963-s0004,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 223 (char 224)"
1963-s0005,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 170 (char 171)"
1963-s0008,parse,"JSONDecodeError: Expecting ',' delimiter: line 4 column 66 (char 246)"
1963-s0009,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 134 (char 135)"
1965-s0001,parse,"JSONDecodeError: Expecting ',' delimiter: line 5 column 64 (char 307)"
1965-s0009,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 136 (char 137)"
1965-s0011,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 283 (char 284)"
1966-s0006,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 130 (char 131)"
1967-s0001,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 66 (char 67)"
1967-s0006,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 209 (char 210)"
1967-s0008,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 255 (char 256)"
1968-s0004,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 64 (char 65)"
1968-s0006,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 129 (char 130)"
1968-s0008,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 161 (char 162)"
1968-s0009,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 284 (char 285)"
1968-s0011,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 126 (char 127)"
1971-s0002,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 129 (char 130)"
1971-s0013,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 125 (char 126)"
1971-s0014,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 166 (char 167)"
1972-s0007,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 192 (char 193)"
1972-s0008,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 193 (char 194)"
