set,id,global_id,source_domain,model,empty_gold_span
test_not_in_gold,1801-s0000,1801,人工智能招聘,,
test_not_in_gold,1803-s0012,1803,人工智能招聘,,
test_not_in_gold,1805-s0009,1805,人工智能招聘,,
test_not_in_gold,1805-s0010,1805,人工智能招聘,,
test_not_in_gold,1807-s0007,1807,人工智能招聘,,
test_not_in_gold,1810-s0001,1810,人工智能招聘,,
test_not_in_gold,1813-s0000,1813,人工智能招聘,,
test_not_in_gold,1817-s0012,1817,人工智能招聘,,
test_not_in_gold,1822-s0012,1822,人工智能招聘,,
test_not_in_gold,1827-s0015,1827,人工智能招聘,,
test_not_in_gold,1883-s0016,1883,人工智能招聘,,
test_not_in_gold,1884-s0016,1884,人工智能招聘,,
test_not_in_gold,1886-s0005,1886,人工智能招聘,,
test_not_in_gold,1897-s0010,1897,人工智能招聘,,
test_not_in_gold,1919-s0008,1919,人工智能招聘,,
test_not_in_gold,1938-s0009,1938,人工智能招聘,,
test_not_in_gold,1946-s0004,1946,阿里云公开数据集,,
test_not_in_gold,1947-s0014,1947,阿里云公开数据集,,
test_not_in_gold,1948-s0013,1948,阿里云公开数据集,,
test_not_in_gold,1949-s0007,1949,阿里云公开数据集,,
test_not_in_gold,1958-s0001,1958,阿里云公开数据集,,
test_not_in_gold,1965-s0021,1965,阿里云公开数据集,,
test_not_in_gold,1968-s0013,1968,阿里云公开数据集,,
test_not_in_gold,1969-s0013,1969,阿里云公开数据集,,
test_not_in_gold,1971-s0015,1971,阿里云公开数据集,,
test_not_in_gold,1973-s0031,1973,阿里云公开数据集,,
test_not_in_gold,1975-s0008,1975,阿里云公开数据集,,
test_not_in_gold,1976-s0015,1976,阿里云公开数据集,,
test_not_in_gold,1977-s0015,1977,阿里云公开数据集,,
test_not_in_gold,1978-s0007,1978,阿里云公开数据集,,
test_not_in_gold,1979-s0009,1979,阿里云公开数据集,,
test_not_in_gold,1980-s0008,1980,阿里云公开数据集,,
test_not_in_gold,1987-s0055,1987,事业单位招聘,,
test_not_in_gold,1987-s0074,1987,事业单位招聘,,
test_not_in_gold,1987-s0075,1987,事业单位招聘,,
test_not_in_gold,1987-s0076,1987,事业单位招聘,,
test_not_in_gold,1987-s0077,1987,事业单位招聘,,
test_not_in_gold,1987-s0078,1987,事业单位招聘,,
test_not_in_gold,1987-s0079,1987,事业单位招聘,,
test_not_in_gold,1987-s0080,1987,事业单位招聘,,
test_not_in_gold,1987-s0081,1987,事业单位招聘,,
test_not_in_gold,1987-s0082,1987,事业单位招聘,,
test_not_in_gold,1987-s0083,1987,事业单位招聘,,
test_not_in_gold,1987-s0084,1987,事业单位招聘,,
test_not_in_gold,1987-s0085,1987,事业单位招聘,,
test_not_in_gold,1987-s0086,1987,事业单位招聘,,
test_not_in_gold,1987-s0087,1987,事业单位招聘,,
test_not_in_gold,1987-s0088,1987,事业单位招聘,,
test_not_in_gold,1987-s0089,1987,事业单位招聘,,
test_not_in_gold,1987-s0090,1987,事业单位招聘,,
test_not_in_gold,1987-s0091,1987,事业单位招聘,,
test_not_in_gold,1987-s0092,1987,事业单位招聘,,
test_not_in_gold,1987-s0093,1987,事业单位招聘,,
test_not_in_gold,1987-s0094,1987,事业单位招聘,,
test_not_in_gold,1987-s0095,1987,事业单位招聘,,
test_not_in_gold,1987-s0096,1987,事业单位招聘,,
test_not_in_gold,1987-s0097,1987,事业单位招聘,,
test_not_in_gold,1987-s0098,1987,事业单位招聘,,
test_not_in_gold,1987-s0099,1987,事业单位招聘,,
test_not_in_gold,1987-s0100,1987,事业单位招聘,,
test_not_in_gold,1987-s0101,1987,事业单位招聘,,
test_not_in_gold,1987-s0102,1987,事业单位招聘,,
test_not_in_gold,1987-s0103,1987,事业单位招聘,,
test_not_in_gold,1987-s0104,1987,事业单位招聘,,
test_not_in_gold,1987-s0105,1987,事业单位招聘,,
test_not_in_gold,1987-s0106,1987,事业单位招聘,,
test_not_in_gold,1987-s0107,1987,事业单位招聘,,
test_not_in_gold,1987-s0108,1987,事业单位招聘,,
test_not_in_gold,1987-s0109,1987,事业单位招聘,,
test_not_in_gold,1987-s0110,1987,事业单位招聘,,
test_not_in_gold,1987-s0111,1987,事业单位招聘,,
test_not_in_gold,1987-s0112,1987,事业单位招聘,,
test_not_in_gold,1987-s0113,1987,事业单位招聘,,
test_not_in_gold,1987-s0114,1987,事业单位招聘,,
test_not_in_gold,1987-s0115,1987,事业单位招聘,,
test_not_in_gold,1987-s0116,1987,事业单位招聘,,
test_not_in_gold,1987-s0117,1987,事业单位招聘,,
test_not_in_gold,1987-s0118,1987,事业单位招聘,,
test_not_in_gold,1987-s0119,1987,事业单位招聘,,
test_not_in_gold,1987-s0120,1987,事业单位招聘,,
test_not_in_gold,1987-s0121,1987,事业单位招聘,,
test_not_in_gold,1987-s0122,1987,事业单位招聘,,
test_not_in_gold,1987-s0123,1987,事业单位招聘,,
test_not_in_gold,1987-s0124,1987,事业单位招聘,,
test_not_in_gold,1987-s0125,1987,事业单位招聘,,
test_not_in_gold,1987-s0126,1987,事业单位招聘,,
test_not_in_gold,1987-s0127,1987,事业单位招聘,,
test_not_in_gold,1987-s0128,1987,事业单位招聘,,
test_not_in_gold,1987-s0129,1987,事业单位招聘,,
test_not_in_gold,1987-s0130,1987,事业单位招聘,,
test_not_in_gold,1987-s0131,1987,事业单位招聘,,
test_not_in_gold,1987-s0132,1987,事业单位招聘,,
test_not_in_gold,1987-s0133,1987,事业单位招聘,,
test_not_in_gold,1987-s0134,1987,事业单位招聘,,
test_not_in_gold,1987-s0135,1987,事业单位招聘,,
test_not_in_gold,1987-s0136,1987,事业单位招聘,,
test_not_in_gold,1987-s0137,1987,事业单位招聘,,
test_not_in_gold,1987-s0138,1987,事业单位招聘,,
test_not_in_gold,1987-s0139,1987,事业单位招聘,,
test_not_in_gold,1987-s0140,1987,事业单位招聘,,
test_not_in_gold,1987-s0141,1987,事业单位招聘,,
test_not_in_gold,1987-s0142,1987,事业单位招聘,,
test_not_in_gold,1987-s0143,1987,事业单位招聘,,
test_not_in_gold,1987-s0144,1987,事业单位招聘,,
test_not_in_gold,1987-s0145,1987,事业单位招聘,,
test_not_in_gold,1987-s0146,1987,事业单位招聘,,
test_not_in_gold,1987-s0147,1987,事业单位招聘,,
test_not_in_gold,1988-s0164,1988,事业单位招聘,,
test_not_in_gold,1988-s0165,1988,事业单位招聘,,
test_not_in_gold,1988-s0166,1988,事业单位招聘,,
test_not_in_gold,1988-s0167,1988,事业单位招聘,,
test_not_in_gold,1988-s0168,1988,事业单位招聘,,
test_not_in_gold,1988-s0169,1988,事业单位招聘,,
test_not_in_gold,1988-s0170,1988,事业单位招聘,,
test_not_in_gold,1988-s0171,1988,事业单位招聘,,
test_not_in_gold,1988-s0172,1988,事业单位招聘,,
test_not_in_gold,1988-s0173,1988,事业单位招聘,,
test_not_in_gold,1988-s0174,1988,事业单位招聘,,
test_not_in_gold,1988-s0175,1988,事业单位招聘,,
test_not_in_gold,1988-s0176,1988,事业单位招聘,,
test_not_in_gold,1988-s0177,1988,事业单位招聘,,
test_not_in_gold,1988-s0178,1988,事业单位招聘,,
test_not_in_gold,1988-s0179,1988,事业单位招聘,,
test_not_in_gold,1988-s0180,1988,事业单位招聘,,
test_not_in_gold,1988-s0181,1988,事业单位招聘,,
test_not_in_gold,1988-s0182,1988,事业单位招聘,,
test_not_in_gold,1988-s0183,1988,事业单位招聘,,
test_not_in_gold,1988-s0184,1988,事业单位招聘,,
test_not_in_gold,1988-s0185,1988,事业单位招聘,,
test_not_in_gold,1988-s0186,1988,事业单位招聘,,
test_not_in_gold,1988-s0187,1988,事业单位招聘,,
test_not_in_gold,1988-s0188,1988,事业单位招聘,,
test_not_in_gold,1988-s0189,1988,事业单位招聘,,
test_not_in_gold,1988-s0190,1988,事业单位招聘,,
test_not_in_gold,1988-s0191,1988,事业单位招聘,,
test_not_in_gold,1988-s0192,1988,事业单位招聘,,
test_not_in_gold,1988-s0193,1988,事业单位招聘,,
test_not_in_gold,1988-s0194,1988,事业单位招聘,,
test_not_in_gold,1988-s0195,1988,事业单位招聘,,
test_not_in_gold,1988-s0196,1988,事业单位招聘,,
test_not_in_gold,1988-s0197,1988,事业单位招聘,,
test_not_in_gold,1988-s0198,1988,事业单位招聘,,
test_not_in_gold,1988-s0199,1988,事业单位招聘,,
test_not_in_gold,1988-s0200,1988,事业单位招聘,,
test_not_in_gold,1988-s0201,1988,事业单位招聘,,
test_not_in_gold,1988-s0202,1988,事业单位招聘,,
test_not_in_gold,1988-s0203,1988,事业单位招聘,,
test_not_in_gold,1988-s0204,1988,事业单位招聘,,
test_not_in_gold,1988-s0205,1988,事业单位招聘,,
test_not_in_gold,1988-s0206,1988,事业单位招聘,,
test_not_in_gold,1988-s0207,1988,事业单位招聘,,
test_not_in_gold,1988-s0208,1988,事业单位招聘,,
test_not_in_gold,1988-s0209,1988,事业单位招聘,,
test_not_in_gold,1988-s0210,1988,事业单位招聘,,
test_not_in_gold,1988-s0211,1988,事业单位招聘,,
test_not_in_gold,1988-s0212,1988,事业单位招聘,,
test_not_in_gold,1988-s0213,1988,事业单位招聘,,
test_not_in_gold,1988-s0214,1988,事业单位招聘,,
test_not_in_gold,1988-s0215,1988,事业单位招聘,,
test_not_in_gold,1988-s0216,1988,事业单位招聘,,
test_not_in_gold,1988-s0217,1988,事业单位招聘,,
test_not_in_gold,1988-s0218,1988,事业单位招聘,,
test_not_in_gold,1988-s0219,1988,事业单位招聘,,
test_not_in_gold,1988-s0220,1988,事业单位招聘,,
test_not_in_gold,1988-s0221,1988,事业单位招聘,,
test_not_in_gold,1988-s0222,1988,事业单位招聘,,
test_not_in_gold,1988-s0223,1988,事业单位招聘,,
test_not_in_gold,1988-s0224,1988,事业单位招聘,,
test_not_in_gold,1988-s0225,1988,事业单位招聘,,
test_not_in_gold,1988-s0226,1988,事业单位招聘,,
test_not_in_gold,1988-s0227,1988,事业单位招聘,,
test_not_in_gold,1988-s0228,1988,事业单位招聘,,
test_not_in_gold,1988-s0229,1988,事业单位招聘,,
test_not_in_gold,1988-s0230,1988,事业单位招聘,,
test_not_in_gold,1988-s0231,1988,事业单位招聘,,
test_not_in_gold,1988-s0232,1988,事业单位招聘,,
test_not_in_gold,1988-s0233,1988,事业单位招聘,,
test_not_in_gold,1988-s0234,1988,事业单位招聘,,
test_not_in_gold,1988-s0235,1988,事业单位招聘,,
test_not_in_gold,1988-s0236,1988,事业单位招聘,,
test_not_in_gold,1988-s0237,1988,事业单位招聘,,
test_not_in_gold,1988-s0238,1988,事业单位招聘,,
test_not_in_gold,1988-s0239,1988,事业单位招聘,,
test_not_in_gold,1988-s0240,1988,事业单位招聘,,
test_not_in_gold,1988-s0241,1988,事业单位招聘,,
test_not_in_gold,1988-s0242,1988,事业单位招聘,,
test_not_in_gold,1988-s0243,1988,事业单位招聘,,
test_not_in_gold,1988-s0244,1988,事业单位招聘,,
test_not_in_gold,1988-s0245,1988,事业单位招聘,,
test_not_in_gold,1988-s0246,1988,事业单位招聘,,
test_not_in_gold,1988-s0247,1988,事业单位招聘,,
test_not_in_gold,1988-s0248,1988,事业单位招聘,,
test_not_in_gold,1988-s0249,1988,事业单位招聘,,
test_not_in_gold,1988-s0250,1988,事业单位招聘,,
test_not_in_gold,1988-s0251,1988,事业单位招聘,,
test_not_in_gold,1988-s0252,1988,事业单位招聘,,
test_not_in_gold,1988-s0253,1988,事业单位招聘,,
test_not_in_gold,1988-s0254,1988,事业单位招聘,,
test_not_in_gold,1988-s0255,1988,事业单位招聘,,
test_not_in_gold,1988-s0256,1988,事业单位招聘,,
test_not_in_gold,1988-s0257,1988,事业单位招聘,,
test_not_in_gold,1988-s0258,1988,事业单位招聘,,
test_not_in_gold,1988-s0259,1988,事业单位招聘,,
test_not_in_gold,1988-s0260,1988,事业单位招聘,,
test_not_in_gold,1988-s0261,1988,事业单位招聘,,
test_not_in_gold,1988-s0262,1988,事业单位招聘,,
test_not_in_gold,1988-s0263,1988,事业单位招聘,,
test_not_in_gold,1988-s0264,1988,事业单位招聘,,
test_not_in_gold,1988-s0265,1988,事业单位招聘,,
test_not_in_gold,1988-s0266,1988,事业单位招聘,,
test_not_in_gold,1988-s0267,1988,事业单位招聘,,
test_not_in_gold,1988-s0268,1988,事业单位招聘,,
test_not_in_gold,1988-s0269,1988,事业单位招聘,,
test_not_in_gold,1988-s0270,1988,事业单位招聘,,
test_not_in_gold,1988-s0271,1988,事业单位招聘,,
test_not_in_gold,1988-s0272,1988,事业单位招聘,,
test_not_in_gold,1988-s0273,1988,事业单位招聘,,
test_not_in_gold,1988-s0274,1988,事业单位招聘,,
test_not_in_gold,1988-s0275,1988,事业单位招聘,,
test_not_in_gold,1988-s0276,1988,事业单位招聘,,
test_not_in_gold,1988-s0277,1988,事业单位招聘,,
test_not_in_gold,1988-s0278,1988,事业单位招聘,,
test_not_in_gold,1988-s0279,1988,事业单位招聘,,
test_not_in_gold,1988-s0280,1988,事业单位招聘,,
test_not_in_gold,1988-s0281,1988,事业单位招聘,,
test_not_in_gold,1988-s0282,1988,事业单位招聘,,
test_not_in_gold,1988-s0283,1988,事业单位招聘,,
test_not_in_gold,1988-s0284,1988,事业单位招聘,,
test_not_in_gold,1988-s0285,1988,事业单位招聘,,
test_not_in_gold,1988-s0286,1988,事业单位招聘,,
test_not_in_gold,1988-s0287,1988,事业单位招聘,,
test_not_in_gold,1988-s0288,1988,事业单位招聘,,
test_not_in_gold,1988-s0289,1988,事业单位招聘,,
test_not_in_gold,1988-s0290,1988,事业单位招聘,,
test_not_in_gold,1988-s0291,1988,事业单位招聘,,
test_not_in_gold,1988-s0292,1988,事业单位招聘,,
test_not_in_gold,1988-s0293,1988,事业单位招聘,,
test_not_in_gold,1988-s0294,1988,事业单位招聘,,
test_not_in_gold,1988-s0295,1988,事业单位招聘,,
test_not_in_gold,1988-s0296,1988,事业单位招聘,,
