id,new_split
1801-s0004,train
1802-s0000,train
1802-s0005,train
1802-s0006,train
1802-s0007,train
1802-s0008,train
1802-s0017,train
1803-s0000,test
1803-s0001,test
1803-s0002,test
1803-s0003,test
1803-s0004,test
1803-s0006,test
1803-s0007,test
1803-s0008,test
1804-s0001,train
1804-s0003,train
1804-s0004,train
1804-s0005,train
1804-s0006,train
1804-s0007,train
1804-s0008,train
1804-s0010,train
1804-s0011,train
1804-s0015,train
1804-s0017,train
1804-s0019,train
1804-s0020,train
1805-s0001,train
1805-s0002,train
1805-s0004,train
1806-s0003,train
1806-s0005,train
1807-s0001,train
1807-s0003,train
1808-s0000,test
1808-s0001,test
1808-s0002,test
1808-s0003,test
1808-s0006,test
1809-s0000,test
1809-s0002,test
1809-s0003,test
1809-s0004,test
1809-s0006,test
1810-s0000,train
1811-s0001,train
1811-s0002,train
1811-s0003,train
1811-s0004,train
1811-s0005,train
1811-s0006,train
1811-s0007,train
1812-s0000,train
1812-s0001,train
1812-s0002,train
1812-s0003,train
1812-s0004,train
1812-s0005,train
1813-s0001,train
1813-s0002,train
1814-s0003,train
1814-s0004,train
1814-s0005,train
1814-s0006,train
1814-s0007,train
1814-s0010,train
1814-s0011,train
1815-s0000,test
1815-s0001,test
1815-s0002,test
1815-s0003,test
1815-s0008,test
1816-s0000,train
1816-s0002,train
1816-s0003,train
1816-s0005,train
1816-s0006,train
1816-s0011,train
1816-s0012,train
1817-s0000,test
1817-s0001,test
1817-s0002,test
1817-s0003,test
1817-s0004,test
1817-s0006,test
1817-s0009,test
1818-s0002,train
1818-s0003,train
1818-s0004,train
1818-s0005,train
1818-s0006,train
1819-s0002,test
1819-s0004,test
1819-s0006,test
1819-s0007,test
1819-s0008,test
1819-s0009,test
1820-s0002,train
1820-s0003,train
1820-s0005,train
1820-s0006,train
1820-s0007,train
1821-s0000,train
1822-s0000,train
1822-s0001,train
1822-s0002,train
1822-s0003,train
1822-s0005,train
1822-s0006,train
1822-s0010,train
1823-s0000,train
1823-s0003,train
1823-s0004,train
1823-s0006,train
1823-s0007,train
1823-s0008,train
1823-s0009,train
1824-s0000,dev
1824-s0001,dev
1824-s0004,dev
1824-s0005,dev
1824-s0007,dev
1824-s0008,dev
1824-s0009,dev
1825-s0000,train
1825-s0003,train
1825-s0004,train
1825-s0005,train
1825-s0006,train
1825-s0007,train
1825-s0008,train
1825-s0009,train
1826-s0000,train
1827-s0000,train
1827-s0004,train
1827-s0006,train
1827-s0010,train
1827-s0011,train
1828-s0000,test
1828-s0001,test
1828-s0002,test
1829-s0000,test
1829-s0001,test
1829-s0002,test
1829-s0014,test
1830-s0000,train
1830-s0001,train
1831-s0000,train
1831-s0001,train
1831-s0002,train
1831-s0005,train
1831-s0009,train
1831-s0010,train
1832-s0001,train
1832-s0002,train
1832-s0005,train
1832-s0006,train
1833-s0001,test
1833-s0002,test
1833-s0003,test
1833-s0004,test
1834-s0000,train
1834-s0002,train
1834-s0004,train
1834-s0005,train
1834-s0006,train
1834-s0007,train
1834-s0008,train
1834-s0009,train
1834-s0010,train
1834-s0011,train
