id,source_domain,empty_hint,sentence,human_spans,comment
1037-s0001,人工智能招聘,,"2.开发与优化数据平台，训练平台，自动部署平台等3.根据需求和设计完成项目代码实现及单元测试任职要求1.熟练掌握Pythonweb开发框架（Django、Flask、Tornado)等，并深度使用其中一种开发较大规模项目2.熟悉使用MySQL/PostgreSQL/Redis/MongoDB3.熟悉微服务架构,熟悉gRPC4.熟悉Internet常用协议，如HTTP、TCP/IP,熟悉RESTful规范5.熟悉Kubernetes,以及基于容器（Docker）的构建和部署6.具备良好的编码规范、学习能力，有独立分析解决问题能力，工作认真负责，沟通协作意识良好优先录用条件1.了解深度学习相关知识与框架 福利待遇 斯坦福团队,高科技领域,高成长空间",,
1043-s0005,人工智能招聘,,2、普通话标准，口齿清晰，有较强亲和力和说服力；,,
1043-s0007,人工智能招聘,,4、良好的职业形象，语言表达能力强，标准普通话，具有亲和力，善于电话沟通，反应机敏灵活，思路清晰；,,
1052-s0004,人工智能招聘,,4. 具有良好的英文能力以及学习能力，高度的责任意识和团队合作精神；,,
1076-s0004,人工智能招聘,,5.在客户迁云过程中，根据项目本身的需要，协助研发团队或实施团队（客户合作伙伴交付经理）完成Demo系统搭建，PoC测试及最终迁移工作；,,
1171-s0003,人工智能招聘,,4、搭建及维护算法服务，相关工具及软件的安装维护岗位要求：1、熟悉大数据分析、机器学习、数据挖掘等相关技术；,,
1226-s0003,人工智能招聘,, 4、负责产品市场推广，收集和反馈智能家居行业的市场情报信息；,,
1235-s0003,人工智能招聘,,4、能够发现和分析异常数据原因，推动问题的解决。,,
1254-s0011,人工智能招聘,empty_welfare, 工作时间：周一至周五8:45-12:00 14:00-17:30 周末双休,,
1255-s0012,人工智能招聘,, 2、 管理路线：专员主管经理总监--校长；,,
1316-s0007,人工智能招聘,, 5. 本科及以上学历，英语4级及以上；,,
1351-s0001,人工智能招聘,, 我能给你 你没有学历没有背景 不要紧，销售行业全凭能力，没有天花板的平台；,,
1369-s0014,人工智能招聘,empty_welfare,元宵、端午、中秋、春节、三八节、母亲节、六一、圣诞等各种节日福利。,,
1369-s0018,人工智能招聘,, 公司简介 一品效果图公司成立于2006年，目前员工三百多人，专业绘图人员两百多人，公司和全国二十万名设计师、一千多家装饰设计机构达成长期合作关系，累计提供几百万张效果图作品。,,
1378-s0002,人工智能招聘,,3、 能够深入理解各行业/品牌特点，有一定的品类趋势前瞻性，结合品牌痛点和市场机会点提供定制化的行业策略分析、数据运营规划及落地执行建议；,,
