id,source_domain,empty_hint,sentence,human_spans,comment
1006-s0000,人工智能招聘,,职责描述： 1、业务数据收集、管理和处理；,,
1019-s0012,人工智能招聘,, 6. 熟悉大数据开发框架(SparkMRHIVEStormFlume等)，掌握常用的数据挖掘技术和机器学习算法，有成功的大数据平台的架构设计经验者优先考虑。,,
1037-s0001,人工智能招聘,,"2.开发与优化数据平台，训练平台，自动部署平台等3.根据需求和设计完成项目代码实现及单元测试任职要求1.熟练掌握Pythonweb开发框架（Django、Flask、Tornado)等，并深度使用其中一种开发较大规模项目2.熟悉使用MySQL/PostgreSQL/Redis/MongoDB3.熟悉微服务架构,熟悉gRPC4.熟悉Internet常用协议，如HTTP、TCP/IP,熟悉RESTful规范5.熟悉Kubernetes,以及基于容器（Docker）的构建和部署6.具备良好的编码规范、学习能力，有独立分析解决问题能力，工作认真负责，沟通协作意识良好优先录用条件1.了解深度学习相关知识与框架 福利待遇 斯坦福团队,高科技领域,高成长空间",,
1043-s0005,人工智能招聘,,2、普通话标准，口齿清晰，有较强亲和力和说服力；,,
1043-s0007,人工智能招聘,,4、良好的职业形象，语言表达能力强，标准普通话，具有亲和力，善于电话沟通，反应机敏灵活，思路清晰；,,
1052-s0004,人工智能招聘,,4. 具有良好的英文能力以及学习能力，高度的责任意识和团队合作精神；,,
1059-s0008,人工智能招聘,, — 正式工：入职月综合工资6000-8000元。,,
1061-s0000,人工智能招聘,,工作内容： 1. 建立、维护和发展与长远、积极的客户关系，提高品牌知名度和客户认知度；,,
1074-s0003,人工智能招聘,,岗位职责：1、本科及以上学历，5年以上JAVA领域系统设计、开发经验2、JAVA基础扎实，熟悉常用的设计模型，并应用于工作过程3、精通JAVA生态圈的开发技术与常用框架（Spring/SpringMVC/Mybatis/Hibernate/struts2/SpringBoot/SpringCloud）4、精通SQL语言，具备Oracle使用经验，对SQL性能调优有实践经验5、熟悉大数据量、高并发、高性能的分布式系统的设计及应用，擅长性能调优优先6、熟悉ngnix/redis/rockmq/kafka/vue/7、熟练掌握Linux系统常用操作和线上运维8、具备一定的文档编写能力,,
1076-s0004,人工智能招聘,,5.在客户迁云过程中，根据项目本身的需要，协助研发团队或实施团队（客户合作伙伴交付经理）完成Demo系统搭建，PoC测试及最终迁移工作；,,
1098-s0002,人工智能招聘,, 2、主导数据产品的研发、与分析师、数据开发、业务方紧密合作，挖掘数据价值，形成数据产品；,,
1114-s0000,人工智能招聘,,1.3年以上网络售后工作经验，熟练掌握主流网络设备的性能特性及安装部署，具备路由器、交换机、防火墙等设备的配置、排错能力。,,
1120-s0000,人工智能招聘,,岗位职责： 1、负责线上服务器、业务系统的发布及维护，保证各系统稳定运行;,,
