model,seed,typed_exact_p,typed_exact_r,typed_exact_f1,typed_relaxed_p,typed_relaxed_r,typed_relaxed_f1,source_macro_f1,exact_AI,exact_Grad,exact_Cloud,exact_Public,L_f1,K_f1,S_f1,T_f1,gold_spans,pred_spans,empty_sentence_fp_rate,id_coverage,alignment_ok,n_test,test_manifest_sha256,test_jsonl_sha256,scorer_version,checkpoint,pred_path
jobbert_1m,42,0.31594415870683323,0.2828017099638277,0.2984556654520215,0.5642909625275533,0.5050970075633016,0.5330557001561687,0.2362581488952617,0.29767952766717015,0.30741596099563767,0.2833333333333333,0.056603773584905655,0.4628099173553719,0.3032378580323786,0.2655091336588895,0.35360360360360366,6082,5444,0.13538461538461538,1.0,1,4222,fe195254d329ba7b596585a0e73cf3c93b320efda55d063ca72d53269ab1ceb0,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/jobbert_1m/seed_42,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/jobbert_1m/seed_42/test_pred.jsonl
jobbert_3m,42,0.31055555555555553,0.275731667214732,0.2921093886082564,0.5594444444444444,0.4967116080236764,0.5262149451315101,0.2642541419480962,0.29435427937300596,0.2843966179861645,0.4386617100371747,0.039603960396039604,0.4666666666666667,0.2833607907742998,0.2580177568400072,0.36111111111111116,6082,5400,0.13230769230769232,1.0,1,4222,fe195254d329ba7b596585a0e73cf3c93b320efda55d063ca72d53269ab1ceb0,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/jobbert_3m/seed_42,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/jobbert_3m/seed_42/test_pred.jsonl
jobbert_1m,123,0.31874068554396423,0.2813219335744821,0.29886462882096065,0.5638971684053651,0.4976981256165735,0.5287336244541485,0.25509799644834713,0.2986600359165631,0.30074800103172555,0.37974683544303794,0.041237113402061855,0.4833333333333333,0.294949494949495,0.264070796460177,0.36752767527675273,6082,5368,0.12738461538461537,1.0,1,4222,fe195254d329ba7b596585a0e73cf3c93b320efda55d063ca72d53269ab1ceb0,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/jobbert_1m/seed_123,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/jobbert_1m/seed_123/test_pred.jsonl
jobbert_3m,123,0.3025547445255474,0.2726076948372246,0.2868015914201695,0.5613138686131387,0.5057546859585662,0.5320878740702301,0.2530456599718336,0.28598901098901097,0.28688106176620726,0.3984962406015038,0.04081632653061225,0.42857142857142855,0.2743823146944083,0.2669544882173053,0.33345233845055333,6082,5480,0.1286153846153846,1.0,1,4222,fe195254d329ba7b596585a0e73cf3c93b320efda55d063ca72d53269ab1ceb0,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/jobbert_3m/seed_123,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/jobbert_3m/seed_123/test_pred.jsonl
jobbert_1m,2026,0.31366906474820144,0.286747780335416,0.29960487888678927,0.560611510791367,0.5124958895100296,0.5354750042947948,0.27568009932845305,0.29694562388713874,0.29622063329928494,0.5095541401273885,0.0,0.5289256198347106,0.2925877763328999,0.27449605609114813,0.34963503649635036,6082,5560,0.13415384615384615,1.0,1,4222,fe195254d329ba7b596585a0e73cf3c93b320efda55d063ca72d53269ab1ceb0,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/jobbert_1m/seed_2026,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/jobbert_1m/seed_2026/test_pred.jsonl
jobbert_3m,2026,0.30823837100691204,0.27129233804669517,0.2885876694359423,0.5615542686344106,0.49424531404143374,0.5257542632269349,0.24445281255305834,0.2897829393059588,0.2873533246414602,0.35766423357664234,0.043010752688172046,0.43697478991596633,0.2798948751642576,0.26501328609388836,0.3425961172440045,6082,5353,0.11569230769230769,1.0,1,4222,fe195254d329ba7b596585a0e73cf3c93b320efda55d063ca72d53269ab1ceb0,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/jobbert_3m/seed_2026,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/jobbert_3m/seed_2026/test_pred.jsonl
roberta_wwm,42,0.3212800578557223,0.29217362709634986,0.3060363385860673,0.5530645452901826,0.5029595527786912,0.5268233875828812,0.2842941374150505,0.30703683342495874,0.2987111448066717,0.4714285714285714,0.06,0.47154471544715454,0.2828282828282828,0.28028169014084503,0.37796424662531924,6082,5531,0.13353846153846155,1.0,1,4222,fe195254d329ba7b596585a0e73cf3c93b320efda55d063ca72d53269ab1ceb0,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/roberta_wwm/seed_42,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/roberta_wwm/seed_42/test_pred.jsonl
roberta_wwm,123,0.3228857566765579,0.28625452153896747,0.30346871187031554,0.560459940652819,0.4968760276224926,0.526756144326303,0.23732982089774587,0.3033630748112561,0.3111571317628786,0.29596412556053814,0.038834951456310676,0.48,0.2897255902999362,0.2752779248279513,0.37441130298273156,6082,5392,0.1286153846153846,1.0,1,4222,fe195254d329ba7b596585a0e73cf3c93b320efda55d063ca72d53269ab1ceb0,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/roberta_wwm/seed_123,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/roberta_wwm/seed_123/test_pred.jsonl
roberta_wwm,2026,0.33056478405315615,0.2944755014797764,0.31147826086956526,0.5721668512366187,0.5097007563301545,0.5391304347826087,0.28919368146862123,0.3042815574338368,0.318298308559713,0.49295774647887325,0.041237113402061855,0.5042016806722689,0.29508196721311475,0.28449350186932526,0.37730287398673545,6082,5418,0.12738461538461537,1.0,1,4222,fe195254d329ba7b596585a0e73cf3c93b320efda55d063ca72d53269ab1ceb0,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/roberta_wwm/seed_2026,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/roberta_wwm/seed_2026/test_pred.jsonl
qwen25_sop,0,0.15843270868824533,0.13761920420914173,0.14729432468103829,0.35585841378004923,0.30910884577441633,0.33084029916410035,0.16417661126051958,0.15288741171582884,0.12074054199087737,0.3608562691131499,0.02222222222222222,0.1206896551724138,0.14693615656079564,0.10891283055827622,0.21341261975553355,6082,5283,0.11015384615384616,1.0,1,4222,fe195254d329ba7b596585a0e73cf3c93b320efda55d063ca72d53269ab1ceb0,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/qwen25_sop,/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/output/repartition_v1/qwen25_sop/test_pred.jsonl
