sentence_id,post_id,source,in_processed_test_3237,in_test_v4_silver,in_gold_v2,in_v4_hybrid_2601,in_simhuman980,has_v4_labels,n_spans,annotation_protocol,human_verification_status,processed_test_has_bio4,eligible_for_repartition,exclusion_reason,title
1801-s0000,1801,AI,1,1,0,0,0,1,3,rule_v4,not_human_reviewed,1,1,ok_v4_silver_not_in_unique_gold_v2,无人机自动控制工程师
1803-s0012,1803,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,亚马逊SEM竞价专员/外贸SEM(深圳市润森盛商贸有限公司)
1805-s0009,1805,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,大客户销售经理(广州启盈机电设备有限公司)
1805-s0010,1805,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,大客户销售经理(广州启盈机电设备有限公司)
1807-s0007,1807,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,运营主管(周末双休、五险一金）
1810-s0001,1810,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,告策略研发（高级）工程师(北京小熊博望科技有限公司)
1813-s0000,1813,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,数据分析师
1817-s0012,1817,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,总部信息科技中心数据集成部系统集成工程师(伊利实业)
1822-s0012,1822,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,AI可视化产品经理
1827-s0015,1827,AI,1,1,0,0,0,1,0,rule_v4,not_human_reviewed,0,1,ok_v4_silver_not_in_unique_gold_v2,自然语言处理开发大牛（nlp）(泛微)
