model,seed,L_f1,K_f1,S_f1,T_f1,test_jsonl_sha256,scorer_version
jobbert_1m,42,0.4628099173553719,0.3032378580323786,0.2655091336588895,0.35360360360360366,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,42,0.4666666666666667,0.2833607907742998,0.2580177568400072,0.36111111111111116,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,123,0.4833333333333333,0.294949494949495,0.264070796460177,0.36752767527675273,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,123,0.42857142857142855,0.2743823146944083,0.2669544882173053,0.33345233845055333,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,2026,0.5289256198347106,0.2925877763328999,0.27449605609114813,0.34963503649635036,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,2026,0.43697478991596633,0.2798948751642576,0.26501328609388836,0.3425961172440045,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,42,0.47154471544715454,0.2828282828282828,0.28028169014084503,0.37796424662531924,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,123,0.48,0.2897255902999362,0.2752779248279513,0.37441130298273156,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,2026,0.5042016806722689,0.29508196721311475,0.28449350186932526,0.37730287398673545,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
qwen25_sop,0,0.1206896551724138,0.14693615656079564,0.10891283055827622,0.21341261975553355,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,42,0.4628099173553719,0.3032378580323786,0.2655091336588895,0.35360360360360366,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
