model,seed,source,n,typed_exact_f1,typed_relaxed_f1,typed_exact_p,typed_exact_r,test_jsonl_sha256,scorer_version
jobbert_1m,42,AI,1908,0.29767952766717015,0.5418096938074969,0.30927246790299573,0.2869242985706723,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,42,Cloud,123,0.2833333333333333,0.4333333333333333,0.3617021276595745,0.2328767123287671,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,42,Grad,1926,0.30741596099563767,0.5332306902745703,0.33075648812810604,0.2871524448705657,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,42,Public,265,0.056603773584905655,0.1509433962264151,0.08823529411764706,0.041666666666666664,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,42,AI,1908,0.29435427937300596,0.5373838257733389,0.30923928883707374,0.28083642138697723,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,42,Cloud,123,0.4386617100371747,0.5278810408921932,0.4796747967479675,0.4041095890410959,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,42,Grad,1926,0.2843966179861645,0.5144760440686651,0.3054485415520088,0.2660594439117929,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,42,Public,265,0.039603960396039604,0.1782178217821782,0.06896551724137931,0.027777777777777776,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,123,AI,1908,0.2986600359165631,0.5379196021549938,0.3123374747182895,0.28613022763366863,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,123,Cloud,123,0.37974683544303794,0.47257383966244726,0.4945054945054945,0.3082191780821918,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,123,Grad,1926,0.30074800103172555,0.5236007222078927,0.32551647124511446,0.2794822627037392,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,123,Public,265,0.041237113402061855,0.18556701030927836,0.08,0.027777777777777776,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,123,AI,1908,0.28598901098901097,0.5381868131868133,0.2972587093089663,0.2755426151402859,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,123,Cloud,123,0.3984962406015038,0.5639097744360902,0.44166666666666665,0.363013698630137,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,123,Grad,1926,0.28688106176620726,0.5278203164880041,0.3067685589519651,0.2694151486097795,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,123,Public,265,0.04081632653061225,0.163265306122449,0.07692307692307693,0.027777777777777776,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,2026,AI,1908,0.29694562388713874,0.5363648815230789,0.3076923076923077,0.2869242985706723,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,2026,Cloud,123,0.5095541401273885,0.6178343949044586,0.47619047619047616,0.547945205479452,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,2026,Grad,1926,0.29622063329928494,0.5357507660878447,0.31693989071038253,0.27804410354745923,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_1m,2026,Public,265,0.0,0.23423423423423426,0.0,0.0,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,2026,AI,1908,0.2897829393059588,0.5347711876123324,0.303328509406657,0.27739544732662785,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,2026,Cloud,123,0.35766423357664234,0.5328467153284672,0.3828125,0.3356164383561644,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,2026,Grad,1926,0.2873533246414602,0.5178617992177315,0.31503716409376786,0.2641418983700863,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
jobbert_3m,2026,Public,265,0.043010752688172046,0.12903225806451613,0.09523809523809523,0.027777777777777776,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,42,AI,1908,0.30703683342495874,0.533534909290819,0.31932532875929104,0.2956590788777131,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,42,Cloud,123,0.4714285714285714,0.5857142857142857,0.4925373134328358,0.4520547945205479,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,42,Grad,1926,0.2987111448066717,0.5195855446044984,0.31587386424371994,0.28331735378715245,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,42,Public,265,0.06,0.16,0.10714285714285714,0.041666666666666664,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,123,AI,1908,0.3033630748112561,0.5317776252573782,0.3150841174793271,0.29248279512969827,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,123,Cloud,123,0.29596412556053814,0.42152466367713004,0.42857142857142855,0.22602739726027396,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,123,Grad,1926,0.3111571317628786,0.532746570023298,0.3382104670793472,0.288111217641419,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,123,Public,265,0.038834951456310676,0.17475728155339806,0.06451612903225806,0.027777777777777776,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,2026,AI,1908,0.3042815574338368,0.5426077317444922,0.31927886013375983,0.29062996294335625,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,2026,Cloud,123,0.49295774647887325,0.5845070422535212,0.5072463768115942,0.4794520547945205,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,2026,Grad,1926,0.318298308559713,0.5376729882111738,0.3419603524229075,0.29769894534995206,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
roberta_wwm,2026,Public,265,0.041237113402061855,0.20618556701030927,0.08,0.027777777777777776,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
qwen25_sop,0,AI,1908,0.15288741171582884,0.3254396897936574,0.1603252977054894,0.14610905240868186,fdbcf6815ea5c6bb8157bf9f5f38897d61132d058df340a5161f53019969fa92,cnss-lskt-1.2.0
