id,domain,review_bucket,status,codex,doubao,kimi,sentence
1802-s0009,人工智能招聘,three_agree,agree_empty,[],[],[],在西二旗地铁站附近的京蒙高科办公。
1802-s0010,人工智能招聘,three_agree,agree_empty,[],[],[],项目发展良好，团队稳定且成员技术水平好。
1802-s0011,人工智能招聘,three_agree,agree_empty,[],[],[],InternetBrands主要提供平台，辅助企业与客户的沟通，并为企业进行推广，最终实现企业的盈利和增长。
1802-s0012,人工智能招聘,three_agree,agree_empty,[],[],[],目前三大业务模块，Communication，Reputation和Network，每个模块下设多个子模块。
1802-s0014,人工智能招聘,three_agree,agree_empty,[],[],[],l在这里有弹性工作时间，无需加班，无需出差；
1802-s0015,人工智能招聘,three_agree,agree_empty,[],[],[],l在这里所有的法定权益你都能享受到，额外的还有每月一次的团队建设活动，生日惊喜和节日礼品、办理工作居住证……公司简介北京慧博云通科技股份有限公司，2009年成立，2016年3月在新三板上市，目前公司1100多人，是一家专注于IT服务领域的高科技企业。
1802-s0016,人工智能招聘,three_agree,agree_empty,[],[],[],公司总部设在北京，在无锡设有全资子公司，在上海、成都、杭州、广州、苏州、深圳、南京、武汉等地设有分支机构，在全国范围内建立覆盖广泛的技术服务团队。
1802-s0018,人工智能招聘,three_agree,agree_empty,[],[],[],"已与公司建立了长期稳定的战略合作伙伴关系的知名企业有：Internetbrands,VMware,SAP,Dolby,Technicolor,中化,中国出口信用保险公司，海尔……"
1803-s0009,人工智能招聘,three_agree,agree_spans,责任心/T | 结果导向/T | 逻辑性强/T | 独立分析/S | 解决问题/S,责任心/T | 结果导向/T | 逻辑性强/T | 独立分析/S | 解决问题/S,责任心/T | 结果导向/T | 逻辑性强/T | 独立分析/S | 解决问题/S,5、具有高度的责任心结果导向，逻辑性强，能够独立分析和解决问题。
1803-s0010,人工智能招聘,three_agree,agree_empty,[],[],[],我们的福利1）全勤奖:全勤奖员工奖励现金及奖品2）下午茶：HR贤良淑德，每天零食无限量供应，种类随四季天气变化更换3）月度优秀员工：”一起成长、一起升级”每月评选出工作表现优异的员工和优秀事迹4）五险5)每月小活动市内组织：游泳、唱K、打羽毛球、聚餐、厨艺大赛、密室逃脱等6）每年两次大旅游：丰富团队生活，在繁忙的工作中放松身心，每年至少组织2次旅游活动7）节日：春节、端午节、中秋节等节日发放实物性福利?
