/opt/anaconda3/envs/adasparse/lib/python3.11/site-packages/jieba/_compat.py:18: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
{"out": "/home/guojingli3/SCESC-LLM-skill-extraction/Chinese_skill_benchmark_Paper/reports/sandbox_lskt_v4_silver/sop_extract_p2_2601/deepseek-v4-pro", "model": "deepseek-v4-pro", "base": "https://api.deepseek.com", "freeze": "6ec0ce8e789a"}
{"n": 2601, "n_simhuman": 980, "done": 0, "pending": 2601, "batch": 4, "workers": 2, "prompt": "SOP extract v4 (no silver)"}
{"wrote": 4, "of": 2601, "batch": 0, "unaligned": 0}
{"wrote": 8, "of": 2601, "batch": 4, "unaligned": 0}
{"wrote": 12, "of": 2601, "batch": 12, "unaligned": 0}
{"wrote": 16, "of": 2601, "batch": 16, "unaligned": 0}
{"wrote": 20, "of": 2601, "batch": 20, "unaligned": 0}
{"wrote": 24, "of": 2601, "batch": 24, "unaligned": 0}
{"wrote": 28, "of": 2601, "batch": 8, "unaligned": 0}
{"wrote": 32, "of": 2601, "batch": 32, "unaligned": 0}
{"wrote": 36, "of": 2601, "batch": 28, "unaligned": 1}
{"wrote": 40, "of": 2601, "batch": 36, "unaligned": 0}
{"wrote": 44, "of": 2601, "batch": 44, "unaligned": 0}
{"wrote": 48, "of": 2601, "batch": 48, "unaligned": 0}
{"wrote": 52, "of": 2601, "batch": 40, "unaligned": 1}
{"wrote": 56, "of": 2601, "batch": 52, "unaligned": 0}
{"wrote": 60, "of": 2601, "batch": 56, "unaligned": 0}
{"wrote": 64, "of": 2601, "batch": 64, "unaligned": 0}
{"wrote": 68, "of": 2601, "batch": 68, "unaligned": 0}
{"wrote": 72, "of": 2601, "batch": 72, "unaligned": 0}
{"wrote": 76, "of": 2601, "batch": 60, "unaligned": 0}
{"wrote": 80, "of": 2601, "batch": 76, "unaligned": 0}
