run,type,tp,fp,fn,precision,recall,f1
no_adapter,L,0,1,2,0.0,0.0,0.0
no_adapter,K,31,49,94,0.3875,0.248,0.3024390243902439
no_adapter,S,129,108,319,0.5443037974683544,0.28794642857142855,0.37664233576642336
no_adapter,T,26,23,62,0.5306122448979592,0.29545454545454547,0.3795620437956204
LoRA_42,L,2,1,0,0.6666666666666666,1.0,0.8
LoRA_42,K,44,31,81,0.5866666666666667,0.352,0.44
LoRA_42,S,186,141,262,0.5688073394495413,0.41517857142857145,0.48
LoRA_42,T,56,29,32,0.6588235294117647,0.6363636363636364,0.6473988439306358
LoRA_43,L,2,1,0,0.6666666666666666,1.0,0.8
LoRA_43,K,57,24,68,0.7037037037037037,0.456,0.5533980582524272
LoRA_43,S,222,142,226,0.6098901098901099,0.4955357142857143,0.5467980295566502
LoRA_43,T,55,27,33,0.6707317073170732,0.625,0.6470588235294118
LoRA_44,L,2,1,0,0.6666666666666666,1.0,0.8
LoRA_44,K,56,25,69,0.691358024691358,0.448,0.5436893203883495
LoRA_44,S,222,140,226,0.6132596685082873,0.4955357142857143,0.5481481481481482
LoRA_44,T,51,26,37,0.6623376623376623,0.5795454545454546,0.6181818181818182
