system,domain,n,seed,precision,recall,f1,f1_std,p_std,r_std,n_missing
JobBERT 1M goldstyle v3,人工智能招聘,1407,42,0.18299656881433474,0.09925558312655088,0.12870357956830675,,,,0
JobBERT 1M goldstyle v3,人工智能招聘,1407,123,0.19122609673790777,0.1054590570719603,0.13594562175129948,,,,0
JobBERT 1M goldstyle v3,人工智能招聘,1407,2026,0.21443048236724768,0.10938792390405294,0.14487197042311378,,,,0
JobBERT 1M goldstyle v3,人工智能招聘,1407,mean,0.1962177159731634,0.1047008547008547,0.13650705724757334,0.008098803804933736,0.016300611254039876,0.005108545344275648,0
JobBERT 1M goldstyle v3,阿里云公开数据集,457,42,0.1791237113402062,0.10602593440122045,0.13320555821753713,,,,0
JobBERT 1M goldstyle v3,阿里云公开数据集,457,123,0.1925133689839572,0.10983981693363844,0.13987372510927634,,,,0
JobBERT 1M goldstyle v3,阿里云公开数据集,457,2026,0.19115549215406563,0.10221205186880244,0.13320079522862824,,,,0
JobBERT 1M goldstyle v3,阿里云公开数据集,457,mean,0.18759752415940967,0.10602593440122045,0.1354266928518139,0.003851243642734051,0.007369876874308155,0.003813882532417996,0
JobBERT 1M goldstyle v3,事业单位招聘,737,42,0.03278688524590164,0.0125,0.01809954751131222,,,,0
JobBERT 1M goldstyle v3,事业单位招聘,737,123,0.03664921465968586,0.014583333333333334,0.020864381520119223,,,,0
JobBERT 1M goldstyle v3,事业单位招聘,737,2026,0.04878048780487805,0.016666666666666666,0.02484472049689441,,,,0
JobBERT 1M goldstyle v3,事业单位招聘,737,mean,0.03940552923682185,0.014583333333333334,0.021269549842775286,0.0033907905683807564,0.008345464830656436,0.002083333333333333,0
domain-mix 1M,人工智能招聘,1407,42,0.18662952646239556,0.09698097601323408,0.12763641311743093,,,,0
domain-mix 1M,人工智能招聘,1407,123,0.19447685725398678,0.10339123242349049,0.13500742540839747,,,,0
domain-mix 1M,人工智能招聘,1407,2026,0.19319880418535126,0.10690653432588916,0.13764643237486687,,,,0
domain-mix 1M,人工智能招聘,1407,mean,0.1914350626339112,0.1024262475875379,0.13343009030023176,0.005188073911978192,0.00421049145983828,0.005032650768202869,0
domain-mix 1M,阿里云公开数据集,457,42,0.18951612903225806,0.10755148741418764,0.13722627737226278,,,,0
domain-mix 1M,阿里云公开数据集,457,123,0.18503401360544217,0.10373760488176964,0.1329423264907136,,,,0
domain-mix 1M,阿里云公开数据集,457,2026,0.18264248704663213,0.10755148741418764,0.13538166106577051,,,,0
domain-mix 1M,阿里云公开数据集,457,mean,0.18573087656144413,0.10628019323671498,0.13518342164291564,0.002148844559399741,0.003489405683096439,0.0022019461067491457,0
domain-mix 1M,事业单位招聘,737,42,0.060810810810810814,0.01875,0.028662420382165606,,,,0
domain-mix 1M,事业单位招聘,737,123,0.06153846153846154,0.016666666666666666,0.02622950819672131,,,,0
domain-mix 1M,事业单位招聘,737,2026,0.029069767441860465,0.010416666666666666,0.015337423312883436,,,,0
domain-mix 1M,事业单位招聘,737,mean,0.05047301326371094,0.015277777777777777,0.02340978396392345,0.007095915746812755,0.018539324898126215,0.004336804165554443,0
JobBERT 3M ckpt65000,人工智能招聘,1407,42,0.19146436961628818,0.1011166253101737,0.13234100135317997,,,,0
JobBERT 3M ckpt65000,人工智能招聘,1407,123,0.19107806691449813,0.10628618693134823,0.13659314376827,,,,0
