model,kind,n_filled_empty,p,r,f1,relaxed_f1,note
ChatGPT,llm,0,0.237058,0.358387,0.285361,0.624869,matched SOP+jieba P2; not Gold v2
Claude,llm_incomplete,98,0.114915,0.209019,0.148299,0.334857,matched SOP+jieba P2; not Gold v2
Kimi,llm_incomplete,293,0.086236,0.109282,0.096401,0.199747,matched SOP+jieba P2; not Gold v2
Kimi_filled,llm,0,0.091083,0.136483,0.109254,0.232070,matched SOP+jieba P2; not Gold v2
DeepSeek,llm,0,0.068193,0.097351,0.080204,0.157657,matched SOP+jieba P2; not Gold v2
Qwen,llm,0,0.099857,0.033405,0.050063,0.140890,matched SOP+jieba P2; not Gold v2
JobBERT-skill,en_head,0,0.007095,0.015032,0.009640,0.067631,matched SOP+jieba P2; not Gold v2
JobBERT-knowledge,en_head,0,0.006400,0.013839,0.008753,0.064438,matched SOP+jieba P2; not Gold v2
JobBERT_1M_v4,encoder_v4_cws_ready,0,0.468527,0.392508,0.427162,0.595170,matched SOP+jieba P2; not Gold v2
JobBERT_3M_v4,encoder_v4_cws_ready,0,0.473015,0.399427,0.433118,0.587322,matched SOP+jieba P2; not Gold v2
JobBERT_1M_v4_raw,encoder_v4_needs_cws,0,0.468527,0.392508,0.427162,0.595170,matched SOP+jieba P2; not Gold v2
JobBERT_3M_v4_raw,encoder_v4_needs_cws,0,0.473015,0.399427,0.433118,0.587322,matched SOP+jieba P2; not Gold v2
JobBERT_1M_v3_s42,encoder,0,0.329212,0.273204,0.298605,0.532273,matched SOP+jieba P2; not Gold v2
JobBERT_1M_v3_s123,encoder,0,0.329182,0.277499,0.301139,0.535733,matched SOP+jieba P2; not Gold v2
JobBERT_1M_v3_s2026,encoder,0,0.354789,0.274875,0.309761,0.531595,matched SOP+jieba P2; not Gold v2
JobBERT_3M_ckpt65k_s42,encoder,0,0.336288,0.271534,0.300462,0.529373,matched SOP+jieba P2; not Gold v2
JobBERT_3M_ckpt65k_s123,encoder,0,0.326548,0.275591,0.298913,0.530797,matched SOP+jieba P2; not Gold v2
JobBERT_3M_ckpt65k_s2026,encoder,0,0.311602,0.269148,0.288823,0.523108,matched SOP+jieba P2; not Gold v2
JobBERT_3M_final,encoder,0,0.337560,0.266762,0.298014,0.529655,matched SOP+jieba P2; not Gold v2
JobBERT_3M_ckpt100k,encoder,0,0.337058,0.266285,0.297521,0.529192,matched SOP+jieba P2; not Gold v2
JobBERT_demo80k,encoder,0,0.311409,0.276784,0.293077,0.532087,matched SOP+jieba P2; not Gold v2
domain_mix_1M_s42,encoder,0,0.344548,0.273682,0.305053,0.526596,matched SOP+jieba P2; not Gold v2
domain_mix_1M_s123,encoder,0,0.340350,0.273920,0.303543,0.528027,matched SOP+jieba P2; not Gold v2
domain_mix_1M_s2026,encoder,0,0.331813,0.277738,0.302377,0.528640,matched SOP+jieba P2; not Gold v2
listed_mix_1M,encoder,0,0.329062,0.269625,0.296393,0.526689,matched SOP+jieba P2; not Gold v2
human380_v3merge,encoder,0,0.331687,0.272489,0.299188,0.533665,matched SOP+jieba P2; not Gold v2
RoBERTa_wwm_v3_s42,encoder,0,0.312448,0.268910,0.289048,0.518338,matched SOP+jieba P2; not Gold v2
RoBERTa_wwm_v3_s123,encoder,0,0.305312,0.266046,0.284330,0.516639,matched SOP+jieba P2; not Gold v2
RoBERTa_wwm_v3_s2026,encoder,0,0.326433,0.259604,0.289208,0.526847,matched SOP+jieba P2; not Gold v2
JobBERT_1M_cws_retrain,encoder,0,0.453657,0.365545,0.404863,0.590381,matched SOP+jieba P2; not Gold v2
