system,bucket,precision,recall,f1,tp,fp,fn,pred,gold
ChatGPT (gpt-4o),1,0.018726591760299626,0.38461538461538464,0.03571428571428572,10,524,16,534,26
ChatGPT (gpt-4o),2,0.7088122605363985,0.7451093210586881,0.7265077138849929,1295,532,443,1827,1738
ChatGPT (gpt-4o),3,0.5208333333333334,0.6157635467980296,0.5643340857787812,250,230,156,480,406
ChatGPT (gpt-4o),4,0.7302798982188295,0.7280568239472349,0.7291666666666667,1435,530,536,1965,1971
ChatGPT (gpt-4o),5,0.5491803278688525,0.475177304964539,0.5095057034220533,201,165,222,366,423
ChatGPT (gpt-4o),6,0.7046703296703297,0.638854296388543,0.6701502286087525,513,215,290,728,803
ChatGPT (gpt-4o),7,0.5606694560669456,0.46206896551724136,0.5066162570888469,134,105,156,239,290
ChatGPT (gpt-4o),8,0.6378600823045267,0.5595667870036101,0.5961538461538461,155,88,122,243,277
ChatGPT (gpt-4o),9,0.6028368794326241,0.45454545454545453,0.5182926829268293,85,56,102,141,187
ChatGPT (gpt-4o),10+,0.6510903426791277,0.41304347826086957,0.5054413542926239,209,112,297,321,506
JobBERT 1M seed42,1,0.0,0.0,0.0,0,203,26,203,26
JobBERT 1M seed42,2,0.3333333333333333,0.07537399309551208,0.12294697325199437,131,262,1607,393,1738
JobBERT 1M seed42,3,0.12747252747252746,0.14285714285714285,0.13472706155632985,58,397,348,455,406
JobBERT 1M seed42,4,0.4190800681431005,0.1248097412480974,0.1923377638780297,246,341,1725,587,1971
JobBERT 1M seed42,5,0.08860759493670886,0.06619385342789598,0.07577807848443842,28,288,395,316,423
JobBERT 1M seed42,6,0.2688821752265861,0.11083437110834371,0.15696649029982362,89,242,714,331,803
JobBERT 1M seed42,7,0.07258064516129033,0.06206896551724138,0.06691449814126395,18,230,272,248,290
JobBERT 1M seed42,8,0.10582010582010581,0.07220216606498195,0.08583690987124463,20,169,257,189,277
JobBERT 1M seed42,9,0.07368421052631578,0.0748663101604278,0.07427055702917772,14,176,173,190,187
JobBERT 1M seed42,10+,0.03134328358208955,0.041501976284584984,0.03571428571428571,21,649,485,670,506
JobBERT 1M seed123,1,0.0,0.0,0.0,0,182,26,182,26
JobBERT 1M seed123,2,0.35958005249343833,0.07882623705408516,0.12930627654554036,137,244,1601,381,1738
JobBERT 1M seed123,3,0.14055299539170507,0.15024630541871922,0.14523809523809528,61,373,345,434,406
JobBERT 1M seed123,4,0.4126984126984127,0.13191273465246067,0.19992310649750095,260,370,1711,630,1971
JobBERT 1M seed123,5,0.10491803278688525,0.07565011820330969,0.08791208791208792,32,273,391,305,423
JobBERT 1M seed123,6,0.26243093922651933,0.11830635118306351,0.16309012875536483,95,267,708,362,803
JobBERT 1M seed123,7,0.07511737089201878,0.05517241379310345,0.0636182902584493,16,197,274,213,290
JobBERT 1M seed123,8,0.11650485436893204,0.08664259927797834,0.09937888198757763,24,182,253,206,277
JobBERT 1M seed123,9,0.07253886010362694,0.0748663101604278,0.07368421052631578,14,179,173,193,187
JobBERT 1M seed123,10+,0.03142857142857143,0.043478260869565216,0.03648424543946932,22,678,484,700,506
RoBERTa-wwm v3 seed42,1,0.0,0.0,0.0,0,271,26,271,26
RoBERTa-wwm v3 seed42,2,0.32044198895027626,0.0667433831990794,0.11047619047619045,116,246,1622,362,1738
RoBERTa-wwm v3 seed42,3,0.10537190082644628,0.12561576354679804,0.11460674157303372,51,433,355,484,406
RoBERTa-wwm v3 seed42,4,0.39228295819935693,0.12379502790461694,0.1881989973004242,244,378,1727,622,1971
RoBERTa-wwm v3 seed42,5,0.10862619808306709,0.08037825059101655,0.0923913043478261,34,279,389,313,423
RoBERTa-wwm v3 seed42,6,0.2319277108433735,0.0958904109589041,0.1356828193832599,77,255,726,332,803
RoBERTa-wwm v3 seed42,7,0.0730593607305936,0.05517241379310345,0.06286836935166994,16,203,274,219,290
RoBERTa-wwm v3 seed42,8,0.10362694300518134,0.07220216606498195,0.08510638297872339,20,173,257,193,277
RoBERTa-wwm v3 seed42,9,0.08717948717948718,0.09090909090909091,0.08900523560209424,17,178,170,195,187
RoBERTa-wwm v3 seed42,10+,0.031506849315068496,0.045454545454545456,0.0372168284789644,23,707,483,730,506
