system,dump_model_id,family,domain,n,n_missing,typed_exact_f1,typed_relaxed_f1,collapsed_exact_f1
ChatGPT,gpt-4o,llm_dump,事业单位招聘,737,0,0.703205791106515,0.7735263702171664,0.7073422957600827
ChatGPT,gpt-4o,llm_dump,人工智能招聘,1407,0,0.6489221738690416,0.7296832304422629,0.6533751644570387
ChatGPT,gpt-4o,llm_dump,阿里云公开数据集,457,0,0.5650019062142584,0.6747998475028593,0.5665268776210446
Claude,claude-3-5-haiku-20241022,llm_dump,事业单位招聘,737,0,0.1240808823529412,0.18841911764705882,0.15073529411764708
Claude,claude-3-5-haiku-20241022,llm_dump,人工智能招聘,1407,98,0.2830517153097798,0.4204813108038914,0.32565284178187404
Claude,claude-3-5-haiku-20241022,llm_dump,阿里云公开数据集,457,0,0.24751066856330012,0.38193456614509247,0.2759601706970128
Kimi,kimi-k2-0711-preview,llm_dump,事业单位招聘,737,0,0.10251630941286113,0.14538676607642126,0.2348555452003728
Kimi,kimi-k2-0711-preview,llm_dump,人工智能招聘,1407,246,0.1512449334105385,0.21100173711638678,0.3228720324261726
Kimi,kimi-k2-0711-preview,llm_dump,阿里云公开数据集,457,47,0.17753922378199835,0.250206440957886,0.2906688687035508
DeepSeek,deepseek-r1,llm_dump,事业单位招聘,737,0,0.08048289738430583,0.1187122736418511,0.22535211267605634
DeepSeek,deepseek-r1,llm_dump,人工智能招聘,1407,0,0.13918699186991873,0.18840108401084013,0.37463414634146347
DeepSeek,deepseek-r1,llm_dump,阿里云公开数据集,457,0,0.12928970470869913,0.17238627294493217,0.34397446129289705
Qwen,Qwen2.5-14B-Instruct,llm_dump,事业单位招聘,737,0,0.020689655172413796,0.020689655172413796,0.034482758620689655
Qwen,Qwen2.5-14B-Instruct,llm_dump,人工智能招聘,1407,0,0.08873835732430145,0.1398814563928874,0.12091447925486876
Qwen,Qwen2.5-14B-Instruct,llm_dump,阿里云公开数据集,457,0,0.06455617628801986,0.1191806331471136,0.08441961514587214
JobBERT-skill,JobBERT-skill EN head,llm_dump,事业单位招聘,737,0,0.0010554089709762533,0.0010554089709762533,0.0031662269129287593
JobBERT-skill,JobBERT-skill EN head,llm_dump,人工智能招聘,1407,0,0.005502508496520473,0.005502508496520473,0.009548470626314936
JobBERT-skill,JobBERT-skill EN head,llm_dump,阿里云公开数据集,457,0,0.000552333609500138,0.000552333609500138,0.008837337752002208
JobBERT-knowledge,JobBERT-knowledge EN head,llm_dump,事业单位招聘,737,0,0.0,0.0,0.000986679822397632
JobBERT-knowledge,JobBERT-knowledge EN head,llm_dump,人工智能招聘,1407,0,0.006955115244642135,0.006955115244642135,0.010837040032349372
JobBERT-knowledge,JobBERT-knowledge EN head,llm_dump,阿里云公开数据集,457,0,0.0005652911249293387,0.0005652911249293387,0.006783493499152064
jobbert_zh_3m/crf_ckpt65000_ep1,,encoder_crf,事业单位招聘,737,0,0.01497005988023952,0.056886227544910184,0.01497005988023952
jobbert_zh_3m/crf_ckpt65000_ep1,,encoder_crf,人工智能招聘,1407,0,0.13234100135317997,0.33450608930987824,0.14641407307171853
jobbert_zh_3m/crf_ckpt65000_ep1,,encoder_crf,阿里云公开数据集,457,0,0.1259150805270864,0.32601268911664233,0.13469985358711564
jobbert_zh_1m/crf_v3_seed42,,encoder_crf,事业单位招聘,737,0,0.01809954751131222,0.04524886877828054,0.01809954751131222
jobbert_zh_1m/crf_v3_seed42,,encoder_crf,人工智能招聘,1407,0,0.12870357956830675,0.339455691111409,0.14211020244000536
jobbert_zh_1m/crf_v3_seed42,,encoder_crf,阿里云公开数据集,457,0,0.13320555821753713,0.32582654528030663,0.14758025874460948
jobbert_1m_human380_v3merge_seed42,,encoder_crf,事业单位招聘,737,0,0.01809954751131222,0.054298642533936646,0.01809954751131222
jobbert_1m_human380_v3merge_seed42,,encoder_crf,人工智能招聘,1407,0,0.12921499865120042,0.33881845157809554,0.14324251416239547
jobbert_1m_human380_v3merge_seed42,,encoder_crf,阿里云公开数据集,457,0,0.12319538017324351,0.3195380173243504,0.13282001924927817
jobbert_zh_listed_1m/crf_v3_seed42,,encoder_crf,事业单位招聘,737,0,0.015313935681470138,0.045941807044410414,0.015313935681470138
jobbert_zh_listed_1m/crf_v3_seed42,,encoder_crf,人工智能招聘,1407,0,0.12821548821548823,0.33858585858585855,0.14383838383838382
jobbert_zh_listed_1m/crf_v3_seed42,,encoder_crf,阿里云公开数据集,457,0,0.12403846153846154,0.32403846153846155,0.13653846153846153
cn_roberta_wwm_crf/smoke_goldstyle_v3_seed42,,encoder_crf,事业单位招聘,737,0,0.011477761836441893,0.04878048780487805,0.011477761836441893
cn_roberta_wwm_crf/smoke_goldstyle_v3_seed42,,encoder_crf,人工智能招聘,1407,0,0.12420550847457627,0.32812499999999994,0.13930084745762714
cn_roberta_wwm_crf/smoke_goldstyle_v3_seed42,,encoder_crf,阿里云公开数据集,457,0,0.1191043353978085,0.3182467841829443,0.13149118627918052
jobbert_zh_demo/crf_v3_seed42,,encoder_crf,事业单位招聘,737,0,0.011782032400589101,0.047128129602356406,0.011782032400589101
jobbert_zh_demo/crf_v3_seed42,,encoder_crf,人工智能招聘,1407,0,0.12411810817873006,0.33498824144238304,0.13953488372093023
jobbert_zh_demo/crf_v3_seed42,,encoder_crf,阿里云公开数据集,457,0,0.11610486891385767,0.34269662921348315,0.12827715355805244
